标题,时间,作者,链接,内容
OpenAI’s Never-Ending Soap Opera,2026-04-07T00:00:04Z,Martin Peers,https://www.theinformation.com/newsletters/the-briefing/openais-never-ending-soap-opera,"What’s the bet that OpenAI’s senior management team undergoes a shake-up before the company goes public? On Sunday, The Information
reported that
finance chief Sarah Friar has concerns about OpenAI’s readiness to go public and its ability to support its AI server commitments. And on Monday,
The New Yorker published
a long profile of CEO Sam Altman that reinforced longstanding questions about his trustworthiness.
It doesn’t seem likely that these two executives can credibly stand in front of investors together pitching an IPO. Friar seems vulnerable to replacement, given that Altman has frozen her out of some key meetings and demoted her to report to one of his underlings, as our story said. But The New Yorker profile, by reopening questions about Altman’s management style, might suggest the company would be better off if he left.
Let’s not forget that Anthropic CEO Dario Amodei has taken
a few subtle
shots at OpenAI’s approach to risk management. When it comes down to it, investors might decide they prefer someone they can rely on to be careful running OpenAI. After all, the company is spending
a lot
of money and taking on
a lot
of commitments. As Amodei keeps reminding us, it’s easy to screw things up in a way that leads to financial ruin.
Still, Altman is a survivor. And for those people paying close attention to OpenAI, The New Yorker piece had little new in it that hadn’t been previously reported elsewhere. As an OpenAI spokesperson told me, “much of the [New Yorker] piece revisits previously reported events through anonymous claims and selective anecdotes sourced from people with clear agendas.” Indeed, the piece could be said to be a win for Altman, effectively clearing him of some particularly seedy allegations that have circulated.
One of these days, though, OpenAI might want to make itself less of a soap opera.
Oracle’s Finance Switch
Normally the appointment of a new chief financial officer isn’t a big story, but Oracle’s announcement of one on Monday was a bit different. That’s because it hasn’t had an executive with that title for more than a decade, since then-CFO Safra Catz took the title of CEO in 2014. Despite changing titles, she appears to have kept the finance responsibilities as she remained “principal financial officer"", the company’s securities filings show.
Last September, when Catz suddenly stepped down as CEO, Oracle named a longtime operations executive, Doug Kehring, to succeed her as principal financial officer. That put him in the hot seat. Oracle was spending heavily to expand its AI data center cloud business, including by borrowing tens of billions. It seems a strange time for it to appoint someone whose background is more in operations as its top financial executive. In his operations role, Kehring oversaw Oracle’s move to the cloud, for instance, his LinkedIn page says.
It turns out Oracle just needed time to find the right person. On Monday, the company announced that Hilary Maxson would become CFO, effective immediately. She had been in that role at Schneider Electric, which sells electrical equipment to data centers and other industries. That makes her an ideal person for the Oracle job. The only question is, why didn’t Oracle do the search six months earlier?
In Other News
•
ServiceNow chairman and CEO Bill McDermott saw his compensation climb 37% to nearly $52 million in 2025, according to a regulatory filing Monday, thanks to a 30% higher cash bonus of $3.5 million and $43 million of stock awards."
Can TensorWave Leapfrog Nvidia’s Big Moat?,2026-04-06T19:01:07Z,Anissa Gardizy,https://www.theinformation.com/newsletters/ai-infrastructure/can-tensorwave-leapfrog-nvidias-big-moat,"Hello! Anissa here.
Is Nvidia’s CUDA Vulnerable?
Jeff Tatarchuk likes to poke the bear. The bear, in this case, is Nvidia. Tatarchuk has every incentive to challenge the chip company’s dominance. He runs startup TensorWave, which rents out AI chips from Nvidia rival Advanced Micro Devices.
Last year, during Nvidia’s GTC conference, Tatarchuk hosted an event in San Jose, Calif., Beyond CUDA, drawing hundreds of attendees eager to talk about alternatives to Nvidia’s software stack. This year, the event is back—but with a softer tone.
Tatarchuk renamed it Beyond Summit, and it starts Wednesday, three weeks after Nvidia’s GTC 2026 took over San Jose. The change wasn’t really his idea.
He said some potential sponsors and attendees were hesitant to be associated with an event that so explicitly positioned itself against Nvidia. In an industry where many companies still depend on Nvidia hardware, even symbolic opposition can carry risk, he said. (I get it: I’ve talked to several companies who worry about their relationship with Nvidia,
specifically when considering or announcing deals with rival chip companies
.)
Tatarchuk himself, however, has mixed feelings about the shift. On one hand, he understands the pressure, and he’s able to host a bigger event this year. On the other, the original name captured the point. Nvidia’s chips dominate AI computing, and CUDA is seen as its moat because it provides all of the software needed to easily run the company’s hardware.
Even the logistics were a reminder of Nvidia’s gravitational pull. Tatarchuk said he initially planned to host the event in San Jose again but found his previous venue booked out for the next few years—by Nvidia itself. So this year he’s hosting his shindig weeks after GTC, this time in San Francisco.
Still, the message behind the gathering hasn’t changed. “There is stuff being built outside of the walled gardens of Nvidia,” Tatarchuk said.
A growing number of AI labs are beginning to experiment with large-scale training on AMD chips, he said—something that until recently was rarely discussed publicly. OpenAI and Meta Platforms, for instance, have recently announced large deals with AMD to use its chips for AI processing.
Tatarchuk has been increasingly vocal about what he sees as an opening. For the first time in years, he believes customers are willing to at least consider looking beyond CUDA.
“AI labs are starting to do large-scale training on AMD, which wasn’t really talked about too much before,” he said. “There are so many sophisticated companies that don’t need CUDA.”
At the same time, a group of startups is emerging to chip away at CUDA’s moat: companies building compilers, kernels, optimization layers and other pieces of the software stack. We’ve named some of these firms in our Top 50 Startups List in
2024
and
2025
.
Many of them will be at the TensorWave event, he said.
Compute Coachella
Coachella doesn’t start until this weekend—but a version of it is already underway at Stanford University. A new undergraduate course on AI infrastructure has effectively become “Compute Coachella.” It’s sold out and features a speaker lineup rivaling those of top-tier industry conferences.
There’s no Justin Bieber or Sabrina Carpenter—but if you care about chips, power and models, it’s arguably a stronger event. Nvidia’s Jensen Huang, AMD’s Lisa Su, OpenAI’s Sam Altman, Microsoft’s Satya Nadella and OpenAI co-founder Andrej Karpathy are all slated to speak this semester.
One reason for the big-name cast could be that the class is taught by Anjney Midha, an early Anthropic investor and former Andreessen Horowitz partner, and Michael Abbott, a former Apple engineering leader who pushed the company to
build its own cloud service
. Both are now working on AMP,
the compute venture we’ve written about
that aims to make it easier for companies to access infrastructure.
Presumably the speakers also want to get in front of the students, whose class project is to use limited AMP computing resources over the next 10 weeks to see if they can produce frontier AI research.
In Other News…
My colleague Valida Pau and I broke the news of
Blackstone buying a stake in Rowan Digital Infrastructure
.
Microsoft is
in exclusive talks
with Chevron and Engine No. 1 about developing a natural gas–fired power plant in Texas for data centers, Bloomberg reported.
In a video shared by the Tehran Times, a spokesperson for Iran’s Islamic Revolutionary Guard Corps threatened that if the U.S. damaged its power infrastructure, Iran would inflict “complete and utter annihilation” of U.S. and Israeli facilities. It specifically called out OpenAI’s
Stargate data center in Abu Dhabi
, sharing photos of U.S. tech leaders announcing the project in 2025. (A spokesperson for OpenAI did not have a comment.)
CoreWeave and Poolside, a data center startup, previously agreed to partner on a 2 gigawatt West Texas data center,
but the deal has fallen apart
, and now Poolside is looking for a new customer, the Financial Times reported."
The Electric: Honeywell Jumps Into the Race to Develop Electric Aircraft for the Pentagon,2026-04-06T16:00:43Z,Steve LeVine,https://www.theinformation.com/newsletters/the-electric/electric-honeywell-jumps-race-develop-electric-aircraft-pentagon,"Multiple electric
aviation startups
are developing aircraft for combat missions in a race for billions of dollars in orders they expect from the Pentagon and other military buyers amid a boom in defense spending.
Now, in an escalation of the competition, aviation industry heavyweight Honeywell Aerospace and a partner are developing an autonomous hybrid electric aircraft that would bring down drones well before they reach their targets. The move brings a major defense contractor with $17 billion in sales last year into a nascent industry until now dominated by small fry with virtually no revenue.
Honeywell’s partner is Odys Aviation, a small Long Beach, Calif., startup that—unlike the mostly short-hop aircraft made by rivals—has developed a long-range hybrid electric aircraft. The plane, called the Laila, lifts off vertically like a helicopter, flies autonomously, has a range of 450 miles and can stay in the air as long as eight hours.
This range and endurance allows the Laila to detect, track and disable enemy drones soon after they take off, said David Shilliday, vice president of power systems at Honeywell. Odys has flown a prototype in the U.S. and Oman.
The U.S. currently uses expensive missiles to bring down drones such as Iran’s cheap kamikaze models because, according to Shilliday, it has no airborne system to combat them. Iran has deployed several versions of its Shahed model in swarming attacks across the Persian Gulf, and Russia uses adaptations of the Shahed to attack Ukraine.
By aiming at military customers, Honeywell and Odys reflect an
accelerated expansion
of the electric flying-taxi industry beyond its civilian roots. For years, skeptics have raised doubts about the billions of dollars of investment that have poured into electric vertical takeoff and landing vehicles, or eVTOLs. Startups such as Joby Aviation, Archer Aviation and Beta Technologies have predicted massive consumer demand for short flights including routes between city centers and airports. But some investors have wondered whether the demand would grow large enough to justify the spending.
The industry’s aggressive move into aircraft for military use makes the business case for eVTOLs more credible. The Trump administration last week requested $1.5 trillion in defense spending in the next fiscal year, a roughly 42% year-on-year increase.
Honeywell, along with Joby, Archer and some other major electric aviation players, expect the Pentagon to order large numbers of hybrid electric aircraft as soon as later this year in contracts worth billions of dollars.
And no one appears to be waiting for the Pentagon to formally ask: In December, Archer
raised $430 million
in equity to develop autonomous hybrid electric aircraft for the Pentagon with Anduril Industries, which has close ties to the White House. Joby has developed a hybrid electric prototype with defense contractor L3Harris.
Shilliday said Honeywell’s drone detection system is ready for commercialization in the Laila. Odys—responsible for producing the aircraft itself—said it expects the Laila to be ready by the end of the year.
“We try and build in advance of the state of need,” Shilliday said. “We try really hard not to wait for [a Pentagon request] before we do that. We try to have it shelf ready for when they’re ready.”
Both the Archer and Joby hybrid aircraft, at least at this stage, are intended for surveillance and dropping gear in combat zones. Multiple manufacturers have proposed battery-powered drones, responding to President Donald Trump’s
2025 “Drone Dominance” executive order
, which seeks the production of some 300,000 one-way kamikaze drones by 2028.
The Laila, conversely, responds to one of the most vexing and harrowing dimensions of current warfare, which is how to fight the swarms of hundreds of cheap drones that blow up on contact with a target.
Currently, among the only ways to stop them are missiles fired from the ground or individual interceptor drones. Ukraine makes
about 1,000 interceptor drones
per day. Both attack drones as they approach their targets.
Honeywell, however, has developed an operations and detection system called Samurai, which turns the Laila into something like a mother ship that relies on a turbine engine to take off and land, then engages its batteries to hover quietly for hours. The turbines charge up the batteries when needed, then switch off.
When a drone attack occurs, AI-driven software aboard Laila can single out each aircraft and select different methods of taking them down, the two companies claim. For instance, Laila could use a microwave burst to burn out drone circuit boards, Honeywell claims. It could strike a drone with a laser. It also could release a small swarm of its own kamikaze drones to crash into the hostile ones.
The concept behind the aircraft was “Can you take the fight to where the drone starts rather than waiting for it to reach the range of your radar?” Shilliday said.
Odys originally developed Laila as a civilian cargo plane capable of carrying a payload of 130 pounds, with plans for a larger nine-passenger version some time in the future. The company has not disclosed what it plans to charge for the cargo version. Honeywell similarly had not initially envisioned its system for combat operations but instead to protect installations like football stadiums or military bases from hobbyist or other drones.
But Honeywell was already in the eVTOL business, supplying flight components for Archer and U.K.-based Vertical Aerospace, for instance.
Now its eVTOL system is configured to pursue and disable almost any kamikaze drone, most of which fly at less than 125 miles an hour. “There’s nothing about the underlying technology that would limit it,” Shilliday said.
----
Noteworthy
There are early signs that
the spike in gasoline prices from the Iran war has spilled over to a revival of demand for electric vehicles. Tesla’s European sales
soared last month
, as did U.S. sales of Hyundai’s electric Ioniq 5.
CarGurus reported
a 31% rise in visitors to its car-purchasing website checking out new EVs in March.
But sales of large
electric pickups may not be sharing in this recovery. General Motors
said it would idle
a Detroit plant that produces the full-size electric Chevrolet Silverado and the hulking electric GMC Hummer for a month, ending later this month.
Planned U.S. AI data centers
are facing delays and cancellations because of a shortage of electrical equipment,
Bloomberg reported
. The news agency estimated that almost half of the planned plants could be postponed or killed because the builders cannot find enough transformers, batteries and switching gear. The problem is broader: In a
report last month
, energy research firm Wood Mackenzie wrote that as of the end of 2025, U.S. data center builders had plans to install 241 gigawatts of new capacity, but that just a third of those were actually under construction. The firm said it detected signs of a sharp slowdown in construction because of a lack of enough power to serve the new data centers.
----
Upcoming events
Monday, April 27—Financing the AI Revolution
Join The Information at the New York Stock Exchange to hear top executives and investors discuss how the rapid build-out of AI is reshaping tech, finance and capital markets (
more details
)."
Why SpaceX Has an Uphill Battle Growing Starlink Mobile,2026-04-06T15:00:43Z,Theo Wayt,https://www.theinformation.com/articles/spacex-uphill-battle-growing-starlink-mobile,"SpaceX executives say its Starlink Mobile direct-to-cell service offered through mobile carriers will eventually reach hundreds of millions of customers around the globe, which would help justify SpaceX’s valuation. But right now, the service’s revenue is tiny.
T-Mobile, for instance, SpaceX’s only mobile partner in the U.S., is offering its customers access to Starlink Mobile in exchange for paying SpaceX a total of around $100 million as it hits service milestones, according to two people with direct knowledge of the deal. That includes an up-front payment worth tens of millions made when T-Mobile originally struck the deal in 2022, as well as additional payments linked to the service’s launch last year.
That total is a tiny portion of SpaceX’s
overall revenue
, which was about $16 billion in 2025. The previously unreported size of the T-Mobile deal shows just how far SpaceX has to go to make Starlink Mobile a significant business. The
regular Starlink service
, which uses a separate constellation of satellites to beam internet to terminals rather than phones, remains much larger and is responsible for the vast majority of Starlink revenue.
The prospects for Starlink Mobile are taking on greater significance now that SpaceX is planning to go public. The company last week reportedly filed confidentially for an IPO. SpaceX CEO Elon Musk claims that the direct-to-cell service is
helping lift SpaceX’s valuation
, which the company recently put at $1.25 trillion.
Inside SpaceX, Musk has talked about the T-Mobile deal as a way to reach millions of potential mobile customers, rather than a large revenue driver at first, one of the people said.
In public, Musk has described the T-Mobile deal as exclusive in the U.S. for the first year of service, then open to other carriers. “We are starting off working with one carrier in each country but ultimately hope to serve all carriers,” Musk
said
in 2024.
A scale model of the  Starlink V2 satellite on display at T-Mobile’s booth at Mobile World Congress in Barcelona in March. Joan Cros/Getty Images.
Starlink Mobile beams cellular service directly to phones, offering service in areas not reached by cell towers. The service is more extensive and seamless than satellite features currently offered by Apple on iPhones, which use service from satellite firm Globalstar to offer texting and location services in remote areas.
Right now the service is a niche offering. In a presentation in March, Starlink chief Michael Nicolls said the mobile service is used by 10 million people a month globally and had connected “over 16 million unique users” in total. The largest number of those are likely in Ukraine, based on statements by Ukrainian carrier Kyivstar, which offers Starlink Mobile there. In March a Kyivstar executive said 5 million customers use Starlink Mobile for text messaging in the country. Kyivstar offers Starlink text messaging for free.
Nicolls said the company hopes to increase the number of monthly global users to 25 million by the end of this year. But there’s
uncertainty in the mobile industry
about consumer demand for Starlink Mobile, given that traditional mobile networks provide reliable service from cell towers in most places where people live and work.
For Starlink Mobile to make financial sense for carriers, they need to convince users to pay up—T-Mobile currently offers Starlink Mobile as a $10 a month add-on or as a benefit included in more premium plans. T-Mobile hasn’t disclosed precise user figures for its satellite service, but it
said
in January that nearly 2 million people had registered for a free beta version it launched in 2025, and that millions of text messages had been sent through the service.
SpaceX has shown an ambition to expand Starlink Mobile. It has agreed to buy mobile spectrum from EchoStar for $19.6 billion, which the company plans to use for an expanded version of Starlink Mobile that can support video streaming and video calls. This service will operate on Starlink Mobile’s next generation of satellites, which it will launch starting next year, once its
delayed Starship rocket
enters service.
SpaceX bulls envision huge growth for Starlink Mobile on the horizon. In a report published in March, a PitchBook analyst predicted that Starlink Mobile revenue would grow from an estimated $240 million in annualized revenue currently to over $42 billion by 2040.
Aside from the uncertainty about consumer demand, Starlink Mobile also faces the prospect of growing competition. In the U.S., for instance, AT&T and Verizon have struck partnerships with
Starlink Mobile rival AST SpaceMobile
, which aims to start offering service later this year.
Timotheus Höttges, CEO of Deutsche Telekom, which has a deal to launch Starlink service in Europe in 2028 and is the majority owner of T-Mobile, said in March that the company is
open to working
with multiple direct-to-cell service providers. SpaceX also offers Starlink Mobile through deals with other mobile carriers in several other countries including Japan, Canada, Ukraine and Australia."
Codex and Claude Code Can Work Together,2026-04-06T14:00:43Z,Rocket Drew,https://www.theinformation.com/newsletters/ai-agenda/codex-claude-code-can-work-together,"Forget all the chatter about which AI coding tool is winning the race. The companies behind the leading AI coding tools are learning the benefits of peaceful co-existence.
On Thursday, for instance,
Cursor
announced a new version of its app designed for coding with AI agents from different coding providers simultaneously, including
Anthropic’s Claude Code
and
OpenAI’s Codex
. OpenAI, meanwhile, last week released a software “plugin” that gives Claude Code customers the ability to use Codex within Claude Code. Codex can review code that Claude wrote or step in if Claude gets stuck.
“We’ve seen Claude Code users bring in Codex for code review . . . so we thought: why not make that easier?” said
Romain Huet
, OpenAI’s head of developer experience, in an X post.
Cursor engineer
Samantha Whitmore
explained the benefits more directly on
a podcast last month
, saying even if one coding agent is broadly better than another, “there could be some benefit from having multiple top-tier models involved...they each have strengths and weaknesses.”
Claude Code seems to be firmly ahead of Codex when it comes to generating revenue. But OpenAI’s plug-in move and comments from some customers of both products suggest the two agents can complement one another, for now.
The models powering Claude Code lead on some
standardized tests
for AI coding, while the models powering Codex lead on others.
For one thing, some developers say they prefer Claude Code over Codex for designing websites and user interfaces.
Another strength of Claude Code is planning and developing a new application from scratch, said
DJ Sampath
,
Cisco’s
senior vice president for AI software and platform.
But when it comes to adding new features to a large, existing codebase, or rewriting many files, Sampath said he has found Codex to be more effective, especially when powered by
OpenAI’s GPT-5.4 High
model.
GPT-5.4
also costs about half the price of
Claude Opus 4.6
, Anthropic’s most advanced model. And according to
Cursor’s testing
, GPT-5.4 can accomplish the same tasks as Opus 4.6 more cheaply. That’s why some customers refer to Codex as a “workhorse” model that excels at tasks involving lots of code. (Some developers say that it can be worth paying extra for Claude’s token usage if it results in better code or a smoother user experience.)
Because the two models are good at different things, Sampath’s employees often ask one of the models to critique and improve the code produced by the other model. (
Microsoft
last week launched a non-coding product that also uses OpenAI and Anthropic models to check each other’s work.)
That kind of critiquing is catching on.
Rob Sun
, founding engineer at
Dexterity
, which makes industrial robots for unloading trucks, said he often asks both Claude Code and Codex to come up with a plan for solving the same task, then directs them to review the other’s plan.
“Claude can execute for X amount of time until it maybe gets stuck. And then I tell Codex to help out,” he said. “And sometimes Codex also has the same issue. And sometimes Codex finds something different, and I'm like, ‘wow, how did Claude not figure that out?’”
But to get unbiased feedback, Sun has found that it can help to conceal which agent wrote the code. Otherwise, one model can seem too hasty in critiquing work from the other, he said. For example, Sun has told Claude that “this was written by Codex. And then Claude is like, ‘Codex is wrong. It doesn‘t know what it’s thinking,’” Sun said.
The products can also show different personalities. “Claude has a pretty good personality. It feels like a teammate and it’s excited with you, et cetera. I would say, for example, Codex is a lot more dry,” said OpenAI co-founder
Andrej Karpathy
on a podcast
last month.
OpenAI has also
released the ability
to switch between two personalities for Codex, one it describes as “terse” and another that’s more “empathetic.”
Here’s what else is going on…
OpenAI CFO Questions 2026 IPO Readiness
OpenAI
CEO
Sam Altman
and CFO
Sarah Friar
are diverging over the company’s timeline for an initial public offering as Altman pushes for a public debut as early as the fourth quarter,
The Information reported
.
Friar has privately expressed concerns that the AI startup will not be organizationally ready for a 2026 IPO, questioning whether its slowing revenue growth can support Altman’s aggressively escalating $600 billion server spending commitments.
People on the Move
OpenAI’s
CEO of AGI Deployment,
Fidji Simo
, is taking
“several weeks” of medical leave
. Simo suffers from a chronic condition called
postural orthostatic tachycardia syndrome
which has led her to primarily work from her home in southern California since joining OpenAI last August. In her absence, co-founder
Greg Brockman
will run the product organization while Chief Strategy Officer
Jason Kwon
, Chief Financial Officer
Sarah Friar
and Chief Revenue Officer
Denise Dresser
will run the business and operations side of the company, Simo said.
Eric Eyken-Sluyters
, a
Salesforce
sales executive who helped oversee its flagship AI tool,
Agentforce
, has
left the company
for up-and-coming rival
Sierra
, an AI startup founded by OpenAI chair and former Salesforce co-CEO
Bret Taylor
.
Court Watch
The
Department of Defense
on Thursday
appealed a federal judge’s order
to temporarily halt the Pentagon’s designation of
Anthropic
as a supply chain risk. While the Ninth Circuit reviews the order, the preliminary injunction may still go into effect on Thursday night, unless the Pentagon files—and is granted—a motion for an emergency stay of the injunction.
Policy Watch
Anthropic
filed paperwork to set up a bipartisan political action committee called
AnthroPAC
that will be funded exclusively by employees, The Hill reported. Anthropic
donated $20 million
to a super PAC in February.
Deals and Debuts
See The Information’s
Generative AI Database
for an exclusive list of private companies and their investors.
Singapore’s
GIC
is in talks to lead an investment in database startup
Supabase
at a valuation of about $10 billion, The Information
reported
. Supabase is aiming to raise about $500 million in the fundraising round, but the number could change.
Anthropic
has acquired AI biotech startup
Coefficient Bio
, which was developing a platform that enables AI to run biotech tasks such as planning drug research and development, for roughly $400 million, The Information
reported
.
Galaxea AI
, a Chinese startup developing humanoid robots, raised $291 million at a $2.9 billion valuation in a Series B+ funding round, with participation from hardware partner
Lens Technology
and state-backed funds.
Xoople
, which collects training data for AI models from satellites, raised $130 million in Series B funding led by
Nazca Capital
.
Alcatraz
, which uses AI for facial recognition to allow employees to scan into buildings, raised $50 million in a Series B funding round led by
BlackPeak Capital
,
Cogito Capital
and
Taiwania Capital
.
Noon
, which uses AI to help developers and designers collaborate in the same interface, raised $44 million in funding from
Chemistry
,
First Round
Capital
,
Scribble Ventures
,
Elevation Capital
and
Afore Capital
.
Moonbounce
, an Oakland, Calif.-based startup that aims to control AI behavior, raised $12 million in funding led by
Amplify Partners
and
StepStone Group
.
Blackstone
, the world’s largest alternative asset manager, agreed to acquire a 49% stake in
Rowan Digital Infrastructure
, a five-year-old data center developer based in Denver,
The Information reported
Thursday.
OpenAI
has
acquired “TBPN,”
the popular tech news talk show that has become a hit over the last year with an enthusiastic embrace of AI and Silicon Valley.
Microsoft
hit an internal goal for sales of its
Copilot
AI software in the first three months of 2026, commercial CEO
Judson Althoff
told staff on Thursday,
The Information reported
. Microsoft also
released new AI models
for transcribing audio and generating images.
Generalist
, which develops AI foundation models for robotics, released
Gen-1
, an AI model designed for industrial tasks that involve manipulation, for instance to fold cloth or pack items in boxes.
Chinese robotics maker
UBTech
is offering up to $18 million annual pay for a new chief scientist, an unusually high pay package for the Chinese AI industry, Bloomberg reported.
A collection of image models codenamed
packingtape-alpha
,
maskingtape-alpha
and
gaffertape-alpha
appeared on AI testing site
Arena
. Before they were removed from Arena, users shared AI-generated images on social media and speculated that they could be forthcoming models from
OpenAI
.
Elon Musk
is requiring banks, law firms, auditors and advisors working on the initial public offering of
SpaceX
to subscribe to
xAI’s Grok
, the New York Times reported.
Meta
halted its work with data vendor
Mercor
after Mercor’s information was exposed in a security leak, Wired reported."
Meta Employees Vie for AI ‘Token Legend’ Status,2026-04-06T13:00:43Z,Jyoti Mann,https://www.theinformation.com/articles/meta-employees-vie-ai-token-legend-status,"Employees at Meta Platforms who want to show off their AI superuser chops are competing on an internal leaderboard for status as a “Session Immortal”—or, even better, “Token Legend.”
The rankings, set up by a
Meta
employee on its intranet using company data, measure how many tokens—the units of data processed by AI models—employees are burning through. Dubbed “Claudeonomics” after the flagship product of AI startup Anthropic, the leaderboard aggregates AI usage from more than 85,000 Meta employees, listing the top 250 power users.
The practice is emblematic of Silicon Valley’s newest form of conspicuous consumption, known as “tokenmaxxing,” which has turned token usage into a benchmark for productivity and a competitive measure of who is most AI native. Workers are maximizing their prompts, coding sessions and the number of agents working in parallel to climb internal rankings at Meta and other companies and demonstrate their value as AI automates functions such as coding.
Tech kingpins are egging them on. Nvidia CEO Jensen Huang
said
last month that he would be “deeply alarmed” if an engineer earning $500,000 annually wasn’t using at least $250,000 of AI tokens a year. Meta Chief Technology Officer Andrew Bosworth said at a tech conference in February that one top engineer was spending the equivalent of his salary on AI tokens while boosting his productivity up to 10 times,
Forbes reported
. “This is easy money,” he said. “Keep doing it. No limit.”
Some tech leaders are bragging about their own use of AI to code—and admitting they, too, feel pressure to maximize it. “It’s about tokens,” Andrej Karpathy, a former top AI scientist at Tesla and OpenAI who now leads an AI education startup,
said on a podcast
last month. “What is your token throughput and what token throughput do you command?”
Meta software engineers are increasingly leaning on AI coding tools. In addition to using models from Anthropic, OpenAI and Google, staffers can rely on internally developed tools, including Meta’s version of OpenClaw, called MyClaw, and Manus, which Meta recently acquired.
Meta CEO Mark Zuckerberg this year issued what an internal memo described as a “bold ask” for engineering teams: Rewrite Meta’s code bases so AI agents can easily understand and modify them.
“It’s well known that this is a priority and we’re focused on using AI to help employees with their day-to-day work,” a Meta spokesperson said. The company has a separate official dashboard for token usage geared toward software engineers, who are generally the biggest token burners. Employees in other roles can also view their usage. (Zuckerberg and Bosworth weren’t among the top 250 power users, said a person familiar with the statistics.)
The Claudeonomics dashboard’s competitive dynamic has helped it gain traction internally, two people said. Over a recent 30-day period, total usage on the dashboard topped 60 trillion tokens, according to a copy of it viewed by The Information. The highest-ranked individual user averaged 281 billion tokens, which could cost millions of dollars, depending on the type of model used.
Employees can track their personal consumption, compare themselves against colleagues and earn gamified rewards ranging from bronze, silver, gold, platinum and emerald badges to achievement titles, which also include “Model Connoisseur” and “Cache Wizard.” Some workers are instructing AI agents to carry out research for hours on end to maximize their token usage, according to two current employees.
Tokens, which represent chunks of text or other data, influence how much compute an AI task entails. Every prompt and response, such as lines of code, is broken into these units. While the precise ratio can vary significantly, the rule of thumb is that 100 tokens equal about 75 words, making Meta’s recent monthly usage roughly equivalent to 45 trillion words.
Tokens are also a basis for AI pricing. Rates generally differ for the input tokens models read and the output tokens they generate, with the latter costing more. Based on Anthropic’s most recent
public pricing
for the latest version of its Claude Opus model, 4.6, the average price for input and output is about $15 per 1 million tokens. On that basis, 60 trillion tokens would amount to roughly $900 million, though it couldn’t be learned how Meta splits its usage across different models or what prices it pays."
