标题,时间,作者,链接,内容
Meta Tries to Light a Fire in AI Market,2026-04-09T00:00:29Z,Martin Peers,https://www.theinformation.com/newsletters/the-briefing/meta-tries-light-fire-ai-market,"Guess what: Meta Platforms is still in the AI model game. You might have forgotten that fact, given that it’s been a little while since we’ve seen much new on the AI front from the Facebook owner. But CEO Mark Zuckerberg
took to Threads on Wednesday
to reveal the new model family, known as Muse, and its first member, Spark.
Meta stock jumped 6.5% on the news, although the market was up strongly, so not all of that was a reaction to the new model. Still, the release is good news. The New York Times
had reported last month
that Meta had put off the release of its new models because they fell short of rival models’ performance. Given that Meta spent many billions building a
new team
of engineers,
led by former Scale AI CEO Alexandr Wang
, any meaningful delay would have been a disaster.
So will Spark light enough of a fire in the AI market to change Meta’s trajectory? Maybe. Meta seems to be aiming at the consumer market—Zuckerberg noted that the new Meta AI would be “particularly strong” in areas such as “health, social content, shopping, games.” While many consumers are likely already set on their favorite chatbot—most likely OpenAI’s ChatGPT or Google’s Gemini—there may be quite a few still undecided. Meta’s AI chatbot is installed on its social media apps, which reach about 3.5 billion people. That should give it a leg up if it can get some positive buzz for the new AI models.
That’s a big if, of course. What makes this interesting is what Meta’s success could mean for OpenAI. Right now, the ChatGPT firm’s biggest hope in driving revenue growth may be advertising, seeing as Anthropic seems to have the enterprise market sewn up. But the two companies that know how to sell digital advertising best are Meta and Google. Both are already using their AI tech to turbocharge their ad businesses. If Meta can make progress on the chatbot front, OpenAI will have an even harder time building a decent ad business in ChatGPT.
Treating Options as Debt
The high cost of stock compensation has become an even more hotly contested issue this year as investors have turned negative on
enterprise software firms
, which are big proponents of stock comp. Here’s an idea that deserves more attention: treating the potential cost of some employee options and restricted stock as debt.
That’s how the UBS HOLT stock valuation model treats stock compensation that can be exercised but hasn’t been, according to my colleague Ken Brown, who wrote about
the HOLT model today.
Imagine if accounting authorities mandated that approach as the standard! It would have quite the impact by inflating companies’ debt levels.
Consider how it would affect one company, Netflix, which has long leaned heavily on stock options to pay employees. As of Dec. 31, Netflix reported that 127.7 million options were outstanding that had vested, with an average exercise price of $36.07—well below Netflix’s stock price of just below $100.
Netflix calculated that the total value of these options—the difference between the stock price and the exercise price—was $7.4 billion as of Dec. 31, when the shares were a little lower than they are today. Netflix had about $14.5 billion of regular debt at that point, so if analysts were to treat the option value as extra debt, it would increase the total significantly.
In Other News
• ​​
Meta Platforms has taken down an internal, employee-built leaderboard tracking how many tokens staffers were using. The dashboard, which employees referred to as Claudeonomics, showed companywide total usage over a recent 30-day period of over 60 trillion tokens,
The Information reported
on Monday.
• Former Andreessen Horowitz general partner Anjney Midha has secured $1.3 billion for the first fund for AMP, his newly formed venture firm,
The Information reported.
• Perplexity’s annualized revenue run rate has more than doubled since the end of last year to $500 million as of this week, said a person familiar with the situation, as demand for the AI firm’s new agent-based product drives subscription growth.
• Alibaba Group senior executive Jingren Zhou, who is in charge of AI model development, will stop serving as Alibaba Cloud’s chief technology officer and concentrate on his AI role, according to an internal memo.
• OpenAI CFO Sarah Friar said in a CNBC interview that the company would reserve a portion of shares it sells in its eventual IPO with individual investors, as SpaceX is doing,
CNBC reported."
Nebius in Talks to Buy Israeli AI Startup AI21 After Nvidia Deal Fizzles,2026-04-08T21:39:34Z,Valida Pau,https://www.theinformation.com/articles/nebius-talks-buy-israeli-ai-startup-ai21-nvidia-deal-fizzles,"Nebius, a cloud provider backed by Nvidia with a market cap of $32 billion, is in talks to buy Israeli-based AI startup AI21 Labs, according to people with knowledge of the deal.
The potential deal would help Amsterdam-based Nebius expand AI services for its customers beyond its main business of renting out servers. AI21 develops large language models and systems for enterprise agents. The Israeli-based startup, last valued at $1.4 billion in 2023, had discussed a sale to Nvidia last year, but the deal didn’t pan out, according to some of the people.
The discussions are ongoing and the companies may not reach an agreement. The potential acquisition price couldn’t be learned. Nvidia had considered buying AI21 for as much as $3 billion, Israeli news site Calcalist reported in December. The startup also held talks with other large technology suitors, according to one of the people.
The Nebius talks show the growing ambitions of upstart cloud providers including CoreWeave and Together AI. As demand for servers to run AI has surged over the last three years, they have been trying to diversify their customers and provide more AI tools to these developers.
“We do not comment on rumours and speculation. Nebius is building a full-stack AI cloud and we continuously evaluate opportunities to expand our platform to give AI builders and enterprises the capabilities they need,” said a Nebius spokesperson. AI21 founder Yoav Shoham declined to comment. A spokesperson for Nvidia didn’t have a comment.
AI21 Labs was founded in 2017 by Shoham, a Stanford University computer science professor who founded a calendar-scheduling startup acquired by Google; Ori Goshen, who founded telco analytics and network optimization startup CrowdX; and Amnon Shashua, CEO of autonomous driving company Mobileye, which Intel acquired in 2017 and spun out as a separately traded company in 2022.
As OpenAI’s ChatGPT took off, the startup
tried to differentiate itself
by providing models that are smaller and cheaper to run than those of other startups.
In 2023, the startup generated most of its revenue from Wordtune, an AI writing assistant for consumers,
The Information reported at the time
. In the past two years, it has pivoted to focus on building AI systems and specialized AI agents for enterprise customers. It employs about 200 people, according to LinkedIn.
Nebius was started in 2024 from the non-Russian assets of tech giant Yandex following Western sanctions on Russia in the wake of its invasion of Ukraine. Renamed Nebius, the company listed on the Nasdaq Stock Market in late 2024.
Revenue has been on a tear as Nebius has signed more large customers. Earlier this year, it announced Meta Platforms
had struck
a deal to spend $27 billion
on its AI data centers over the next five years. Nebius has also been one of
dozens of customers Nvidia has backed
over the last few years. In March, Nvidia said it would invest $2 billion in Nebius.
It has already expanded beyond data centers. In February, it agreed to acquire Israeli startup Tavily, which develops search tools to help autonomous agents navigate the web. It also runs autonomous driving company Avride and ed tech business TripleTen and has stakes in database management startup ClickHouse and data labeling startup Toloka.
Other cloud and data center providers that have grown rapidly during the AI boom have also been buying software startups. Last year, CoreWeave bought
Weights & Biases
, a startup that helps developers build AI applications, for $1.7 billion. In August 2025, data center developer Crusoe purchased a Tel Aviv–based cloud computing startup,
Atero
, which develops software to improve the utilization and efficiency of graphics processing units."
Nvidia Worth $22 Trillion? This Old-School Financial Model Says Yes.,2026-04-08T16:07:45Z,Ken Brown,https://www.theinformation.com/newsletters/the-information-finance/nvidia-worth-22-trillion-old-school-financial-model-says-yes,"Nvidia shares should be worth a lot more than they are now—400% more, to be exact. And most software stocks should be worth less—some a lot less—than they are now. You can find assessments like these all over social media, but in this case, they come from one of the most respected quantitative investing models in finance.
UBS HOLT is that model, and it has rarely loved a stock as much as it does Nvidia’s. “We think share price should be 400% higher,” said John Talbott, the U.S. head of HOLT’s technology coverage. That would put Nvidia’s market capitalization at a mere $22 trillion (compared with $4.46 trillion on Wednesday morning). It’s a big number for investors to swallow. “That’s the big pushback I get,” he said.
Talbott is less optimistic about the future of software. Viewed through the HOLT lens, software companies are generally expensive relative to their expected future growth rates. The market generally agrees, the industry lost $2 trillion in market value this year, but HOLT provides a smart framework for understanding software companies and picking potential winners. One winner could be Adobe, whose battered share price implies zero future growth. In this case, the market might be too negative.
Serious financial analysts have used UBS HOLT for decades because it strips companies down to one critical metric—how much cash they earn on the money they invest in their business. It doesn’t matter whether the company makes semiconductor chips, car tires or hamburgers—the metric is the same: cash flow return on investment.
CFROI, HOLT argues, improves on commonly used metrics such as return on equity and return on invested capital by stripping out accounting distortions, emphasizing cash flow and adjusting for inflation. It then combines CFROI with the company’s assets and its current and future growth to measure what it’s worth.
The model is well suited for analyzing tech. One reason is that it assumes every company’s growth rate will fade over time, even Nvidia’s. Every company’s CFROI will also decline until it is in line with that of the average company. HOLT believers will happily show how the model predicted fading growth for Yahoo, Cisco and Sun Microsystems during the dot-com bubble.
“There comes a time in every tech cycle when today’s winners are not the winners of the future,” said Talbott, who has been a HOLT analyst for nearly 17 years.
The HOLT model dates back to the 1970s, and the company formed in 1985. Credit Suisse bought it in 2002, and when that bank failed, HOLT landed at UBS. Its 550 clients range from mutual fund managers to sovereign wealth funds. HOLT tracks 20,000 stocks globally.
Why is HOLT so infatuated with Nvidia? The chip company has delivered some of the best long-term performance ever registered on HOLT’s metrics. The CFROI for the average nonfinancial company is 6%, but Nvidia is at 73%, putting it in the top 0.1% of all companies. And Nvidia’s asset growth, using typical balance sheet numbers such as capital expenditures plus other metrics, is in the top 0.5% of companies. “We’ve never seen anything like this in our system—it’s incredible,” Talbott said.
Just as important, Nvidia has beaten the fade. Its returns have continued to rise when HOLT’s model predicted they would fall. Nvidia has also focused on growth, which is exactly what a company with such a level of return should do in HOLT’s model. Companies with weak returns should focus on improving profitability rather than growth, HOLT advises.
HOLT doesn’t issue buy and sell recommendations, and its model better suits broad investment themes rather than individual stocks. But the model offers insights investors might otherwise miss, and it lets its clients plug in their own variables—say, for sales growth—if they think its assumptions are wrong. Analysts looking at Nvidia could, for example, account for the circular financing deals the chipmaker has done with its customers.
Software is one industry where HOLT stands out, not because of its stock predictions but because the firm is obsessed with the cash companies generate and with making data comparable across the entire market.
That’s important for software, where stock-based compensation, such as employee stock options and restricted stock, is far higher than it is for the market overall. At companies such as Palantir and CrowdStrike, stock-based compensation equals more than 20% of sales, according to HOLT.
Stock-based compensation is deducted from official earnings but many companies try to get investors to look at disclosures that ignore it. Companies often don’t include stock-based compensation when they give earnings guidance. That makes it hard to make comparisons across the industry.
HOLT sees stock-based compensation as an economic cost and deducts that figure from current and projected cash flows. It considers options that can be exercised as debt.
By making all of the numbers comparable, HOLT’s model helps make sense of an industry in turmoil. It would be easy to say the sell-off in software companies has made some of the stocks cheap. Most of the industry is still growing sales and generating CFROIs above 20%, far higher than the overall market.
However, HOLT shows the impact of stock-based compensation on the companies’ results, oftentimes making them look less impressive. It also invokes the fade, assuming that the industry’s historic high growth rates won’t last. “The trillion-dollar question is, are we not fading it enough?” said Talbott.
Combining company fundamentals with market expectations can yield interesting results. HOLT says among large software companies, only Adobe is priced for zero sales growth, while Oracle, Microsoft, Salesforce and Intuit are the only ones investors believe will grow less than 5%. Deep pessimism often precedes good returns.
Nvidia and the software makers are in some ways the bull and bear cases for AI. If Nvidia keeps crushing it, today’s software growth numbers might in retrospect sound ridiculously optimistic."
The Startup Building Code Management Software for ‘Tokenmaxxers’,2026-04-08T14:00:54Z,Julia Hornstein,https://www.theinformation.com/newsletters/ai-agenda/startup-building-code-management-software-tokenmaxxers,"Earlier this week, my colleague Jyoti reported
on the great lengths Meta Platforms engineers
are going to show off their AI prowess. An employee-created leaderboard tracks who burns through the most AI tokens—part of a broader trend known as
“tokenmaxxing.”
The article has sparked a flurry of armchair analysis on how much this strategy could cost
Meta
(and potentially benefit
Anthropic
), such as
here
and
here
.
The drive by companies to use AI for coding could boost demand for tools that help developers organize code generated by AI agents. One startup developing such tools is
GitButler
, whose software streamlines how developers coordinate their code alongside AI coding agents. The Berlin-based startup just raised a $17 million Series A led by
Andreessen Horowitz
, GitButler CEO
Scott Chacon
told me. Existing investors
A.Capital Ventures
and
Fly Ventures
also participated.
Tools that help developers see, organize, and track each others’ code changes, known as
version control systems
, have been around for the past few decades. But this software wasn’t ready for AI that writes code and works alongside human developers, says Chacon. So three years ago he co-founded the company with startup entrepreneurs
Anne Leuschner
and
Kiril Videlov
.
“The thing about writing software now—for software developers—is that you don’t just write it for senior developers and junior developers,” Chacon said, adding that AI agents are “a different type of user persona.”
Chacon has been immersed in coding tools for some time. In 2008, he co-founded
GitHub
, now a popular code repository that lets software engineers store, share and collaborate on computer code.
A lot has changed since he left the company, now owned by
Microsoft
, a decade ago. These days, software engineers are in large part relying on AI agents to bang out more lines of code faster than ever before. As one sign of this drive, commits—or times that users saved new code to their GitHub database— are
on track to increase 14 times this year from last year
, The Information reported Tuesday.
GitButler allows developers and their AI agents to work on multiple different tasks, such as a feature and a bug fix, at the same time and without the constant stopping and starting required by older tools, which may force users to save changes or clear their workspaces before switching tasks.
In addition to managing code, the startup is also using AI to help developers create notes attached to their changes, known as commit messages, and add context to the changes they make to their code.
“As development becomes more AI-assisted and increasingly complex, the need for a more intuitive, flexible way to manage change is only growing,” said
Peter Levine
, a partner at Andreessen Horowitz, which led the round.
The startup, which has 12 full time and contract employees, hasn’t decided how it will sell its services yet. Chacon said a handful of developer teams at various tech companies are using the software, and a couple hundred people have been paying $5 a month out of goodwill. “We’ll grandfather all those people in who have been paying for a while” when the company decides on how to monetize, he said.
GitButler faces some competition for version control tools used with AI agents: One open source project developed called
Jujutsu
also aims to simplify how developers organize their work.
Mercurial
is
another free
source control management tool.
Here’s what else is going on…
Court Watch
Elon Musk
argued in a new legal filing that
OpenAI
CEO
Sam Altman
and President
Greg Brockman
should be removed
as officers of OpenAI’s nonprofit wing if Musk wins his lawsuit alleging OpenAI violated its charitable mission.
Musk’s lawsuit argues that OpenAI wrongfully gained over $100 billion at the expense of its charity. His latest filing said that, if he prevails in his argument, that money should be returned to the nonprofit wing, not given to Musk.
Overheard
Amazon Web Services
CEO
Matt Garman
on Tuesday
played down the idea
that
Anthropic’s
highly-praised
Claude Code
tool could undercut existing enterprise software companies. But Garman warned that if incumbent software firms try to “protect what they have and not lean in” to AI, “they’re in trouble.”
People on the Move
Longtime
Microsoft
executive
Eric Boyd
is
joining Anthropic
as the AI lab’s head of infrastructure, Boyd said on Tuesday.
Deals and Debuts
See The Information’s
Generative AI Database
for an exclusive list of private companies and their investors.
Hermeus
, which builds autonomous military aircraft, raised $350 million at a $1 billion valuation in a Series C funding round led by
Khosla Ventures
, with participation from
Canaan Partners
,
Founders Fund
,
RTX Ventures
,
Bling Capital
,
In-Q-Tel
,
Cox Enterprises
,
Socium Ventures
,
Destiny Tech100
,
Georgia Tech Foundation
,
137
Ventures
and
GSBackers
.
Spirit AI
, which develops foundation models for robotics, raised $140 million in funding led by
Shunwei Capital
and
Yunfeng Fund
.
Aria Networks
, which builds networking systems for AI data centers, raised $125 million in a Series A funding round led by
Sutter Hill Ventures
.
Modus
, which aims to invest in accounting firms to automate their auditing processes with AI, raised $85 million in combined seed and Series A funding led by
Lightspeed Venture Partners
.
True Footage
, which uses AI to appraise residential properties, raised $40 million in a Series C funding round led by
Cox Enterprises
.
Mappedin
, which uses AI and lidar to create and 3D digital maps of indoor spaces like malls, airports and sports stadiums, raised $24.5 million in a funding round led by
Edison Partners
.
Trent AI
, which develops AI-powered security software that detects vulnerabilities in other AI agent systems, raised $13 million in a seed funding round led by
LocalGlobe
and
Cambridge Innovation Capital
.
Anthropic
announced on Tuesday
that it will be providing access to its unreleased
Claude Mythos
model to more than 40 organizations, including
Apple
,
JPMorgan Chase
and the
Linux Foundation
, so they can test their software for security vulnerabilities. Anthropic says that Claude Mythos is significantly better at identifying and exploiting vulnerabilities compared to prior models.
Intel
says
it’s now involved
in a chip-making project led by
Elon Musk’s
companies
SpaceX
and
Tesla
, though neither company provided details on how they will work together or a timeline for the project.
Uber
announced that it was expanding its
Amazon Web Services
contract to run more ride-sharing features on Amazon chips such as
Graviton
, as well as begin a new trial testing
Trainium3
.
AI music startup
Suno’s
talks over licensing deals with
Universal Music
and
Sony
have stalled in recent months, the Financial Times reported. One disagreement concerns whether AI-generated songs should be limited to Suno’s app or free to share across the internet.
Z.ai
released
GLM-5.1
, an open source model designed for agentic coding that the company says achieved a state of the art score on a key test of AI coding capabilities.
Google
on Monday released a dictation app called
“Google AI Edge Eloquent”
on iOS that can work offline."
Polygon Labs in Talks to Raise Up to $100 Million for Payments Business,2026-04-08T13:00:09Z,Yueqi Yang,https://www.theinformation.com/articles/polygon-labs-talks-raise-100-million-payments-business,"Polygon Labs, developer of the blockchain that underpins prediction market Polymarket and other crypto platforms, is in early talks with investors to raise as much as $100 million to build a new stablecoin payments business, according to people familiar with the talks.
The funding discussions come amid a nasty downturn in crypto. The new venture would be a way for Polygon to diversify out of a market that has stalled.
Polygon has previously raised money by selling its crypto tokens, but this time it aims to sell between $50 million and $100 million in equity in the new stablecoin business to raise cash. Prices of the polygon tokens have fallen 90% from two years ago.
The company plans to generate revenue through transaction fees while driving volume on the Polygon blockchain.
There’s no guarantee Polygon will succeed in stablecoin payments, where it would compete with Stripe and Coinbase, as well as startups like Zerohash, Conduit and Mastercard’s BVNK. Polygon hired Stripe’s former head of crypto, John Egan, last September to be its chief product officer. Marc Boiron, the chief executive officer of Polygon Labs, will also lead the new payments business, along with Egan and Mudit Gupta, the chief technology officer of Polygon Labs.
More crypto companies are trying to become payments and fintech firms as the crypto market
downturn hits its sixth month
. The passage of the stablecoin legislation last July made stablecoin payments one of the legitimate use cases for crypto.
Some crypto companies that tried to profit from meme coins, gaming, and on-chain social media are now going in other directions. The solana blockchain, which took off with meme coin trading, is
pushing
to trade real-world assets like stocks and bonds. Coinbase’s Base blockchain is moving away from courting creators to focus on trading assets.
The downturn also hit fundraising by crypto startups, which fell to about $2.9 billion in the first quarter, down 69% from the prior quarter, according to crypto advisory firm Architect Partners.
Payments-related deals, however, remain active. Last month, Mastercard announced it would acquire BVNK, a competitor to Bridge, for up to $1.8 billion. In the first quarter, payments-related deals made up 16.4% of total fundraising and 66% of acquisitions by deal value, according to Architect.
Polygon, founded in 2017, rose to prominence as one of the early blockchains that enabled fast and cheap transactions on the Ethereum network. In 2022, it raised $450 million led by Sequoia Capital India, with participation from SoftBank, Tiger Global Management and others, by selling its polygon tokens.
More recently, Polymarket, the booming prediction market, has been driving volume on the Polygon blockchain, where its trades are settled. Polymarket makes up nearly half the trading volume on Polygon, according to data from Token Terminal. British fintech Revolut, which uses the Polygon blockchain to move money for users across borders, has processed more than $1.2 billion in stablecoin transfers through Polygon.
To build out its payments business, Polygon Labs in January agreed to buy two startups, Coinme and Sequence, for a combined $250 million. Coinme provides on-ramp, off-ramp services that allow users to move money into and out of crypto. Sequence provides crypto wallets. The two businesses allow Polygon to handle payments processing for clients rather than referring them to outside vendors. Stripe last year acquired stablecoin platform Bridge and wallet provider Privy.
Coinbase has also been focusing on stablecoin payments for merchants, though the business
hasn’t taken off
. It
revamped
its offering last month by shutting down Coinbase Commerce, which allowed merchants globally to accept crypto payments, and transitioning clients in the U.S. and Singapore to a Coinbase Business account. It is also
building
infrastructure to support payments by AI agents, one of its top priorities this year."
