标题,时间,作者,链接,内容
Microsoft Comes Out of OpenAI Deal a Winner; Risks in AI Financing,2026-04-28T00:00:19Z,Martin Peers,https://www.theinformation.com/newsletters/the-briefing/microsoft-comes-openai-deal-winner-risks-ai-financing,"Microsoft and OpenAI had big news this morning but before we dive into that, it's fair to say there’s a lot of excitement among investors (and reporters!) about the upcoming SpaceX IPO. But some people have a refreshingly realistic assessment of the situation. “There’s a trillion ways this can go wrong,” said Ashley MacNeill, co-head of capital markets at investment firm Vista Equity Partners, at The Information’s Financing the AI Revolution event in New York on Monday. “There’s only a handful of ways this goes right.”
MacNeill was making the point that the unprecedented nature of the IPO—SpaceX wants to raise $75 billion,
roughly the total raised by all U.S. IPOs
last year, according to Dealogic—is an issue in itself. “Most of the IPO market, most of the things you see are based on precedents, based on things that have happened before,” she said. “It’s not so often that you get things that haven’t been done before.…I think there’s a ton of ways that this can go awry.” For more on the event,
see here.
Microsoft and OpenAI
Microsoft isn’t as glamorous a company as OpenAI in terms of buzziness and drama. But there’s a good argument to be made that Microsoft is the better AI investment.
Today’s news
that Microsoft and OpenAI have further loosened the ties that bind them demonstrates that.
The new deal allows OpenAI to sell its products via any cloud,
resolving uncertainties
about the deal it struck with Amazon’s cloud unit, Amazon Web Services, a few weeks ago. But OpenAI gave up a lot to win that freedom. It no longer gets a cut of what Microsoft makes selling its services. But Microsoft will continue to get a 20% share of OpenAI’s revenues through 2030, which could mean tens of billions of dollars in the next few years. Along with the 27% equity stake Microsoft has in OpenAI, the cloud and software giant is positioned to benefit enormously from whatever success OpenAI enjoys.
And now that Microsoft can also sell rival AI services
such as Anthropic’s Claude
, the cloud giant has hedged its bets. Meanwhile, the concession Microsoft gave—allowing OpenAI to sell through other clouds—may not end up being that meaningful for OpenAI.
As we reported today
, some AWS customers have shrugged off the news that OpenAI’s models would soon be available on the cloud service, “in part because they’ve come to rely on other model makers,” most obviously Anthropic.
That’s hardly a definitive conclusion, of course. Amazon hasn’t started marketing the OpenAI service, and things could change over time. But Anthropic has become the go-to AI service for businesses, as its fast-growing revenue demonstrates. That suggests AWS customers are more likely to stick with Anthropic than switch to OpenAI.
Microsoft has been out of favor on Wall Street all year, with its stock down 12%, the second-worst performance among the big tech names after Tesla. But investors are missing the bigger picture about what it stands to gain—and lose—from AI. Indeed, you could make the point generally regarding the three big cloud firms. Like Microsoft, Amazon and Google have equity stakes in Anthropic and sell its services on their clouds, so they participate in its success.
The three big clouds also have other giant businesses that continue to rake in money, although uncertainties about the impact of AI on those businesses are real. Even so, for all the appeal of OpenAI and Anthropic, the value of the diversified businesses of Microsoft, Google and Amazon can’t be overstated.
In Other News
•
Chinese regulators on Monday blocked Meta Platforms’ $2 billion acquisition of Manus and ordered the companies to terminate the deal.
• More than 600 Google employees signed a letter to Google CEO Sundar Pichai asking him to reject a proposed deal with the Department of Defense to use Google’s AI on classified work.
• OpenAI CEO Sam Altman and President Greg Brockman attended jury selection on Monday as the trial in Elon Musk’s lawsuit against them and OpenAI got underway.
• Microsoft-owned GitHub on Monday said it would charge customers of its Copilot AI coding tools additional fees on top of base subscriptions, based on how much AI they use."
"SpaceX and AI IPOs Hold Risks for AI Buildout, Say Investors at AI Event",2026-04-27T23:40:06Z,The Information Staff,https://www.theinformation.com/articles/spacex-ai-ipos-hold-risks-ai-buildout-say-investors-ai-event,"With AI and big tech firms seeking to raise hundreds of billions in equity and debt this year to build data centers, any high-profile misstep could throw the broader AI boom off track. That includes the potential public debuts of SpaceX and possibly AI firms Anthropic and OpenAI. Poor performance from those initial public offerings could dampen broader enthusiasm for AI investment, according to a speaker at The Information’s AI Financing event in New York on Monday.
Ashley MacNeill, co-head of capital markets at Vista Equity Partners, warned that “there’s a ton of ways” the SpaceX IPO “can go awry” and “only a handful of ways this goes right.” She said that the unprecedented nature of the IPO—it is aiming to raise $75 billion, far more than any other IPO—meant it would confront issues previous public offerings had never encountered.
MacNeill pointed out for example, that the SpaceX offering will equate to almost 10% of daily equity trading volume, and it’s not clear the market can handle all that capital in “one shot,” let alone as huge gobs of capital start trading when lockup periods end.
“Three of the biggest IPOs…potentially in history [are] happening all within potentially the same calendar year,” said Alexa von Tobel, founder and managing partner of Inspired Capital. “The performance of some of those IPOs may actually be like real cold water on reality.…There’s a state of the world where it actually makes the capital around it more cautious.”
Monday’s event looked at the fast-growing need for capital in the AI market, including from credit markets and equity markets, and bankers and investors have had to come up with a variety of creative structures to raise the money.
Morgan Stanley’s global head of debt capital markets, Anish Shah, noted that the markets would need to finance between $300 billion and $400 billion in annual spending for AI. That will make up about 10% of the bond and equity capital markets, he said, marking explosive growth for a type of financing that was basically nonexistent a year ago.
Plenty of speakers were bullish about the potential of AI. Billionaire investor Glenn Hutchins, who is on the board of AI data center firm CoreWeave, said the AI boom is not a bubble but “one of the biggest changes in economic and human organization in history.”
“If you’re not an investor in that, if you’re not on the right side of that, both with your capital and with your time…you risk real obsolescence,” Hutchins added.
Another investor, Jon Redmond, a portfolio manager at Discovery Capital, also took an upbeat view, noting he was “excited” about the SpaceX IPO. He believes that once SpaceX’s IPO prospectus becomes public, which is expected in a few weeks’ time, “people are gonna really start to realize how big the opportunity is” for the company.
Still, Redmond acknowledged that the giant IPOs could affect other stocks as investors sell some investments to raise money to buy the newly public companies. He said historically large IPOs were followed by a market sell-off: “I think you’re gonna have something very similar. It will probably be tech led, is my guess—Mag seven led, if I had to take a wild guess.”
Enterprise Software’s Future
Speakers were divided about the future for enterprise software. Uncertainties about how AI will disrupt the industry have pummeled public stocks.
Hutchins predicted the software sell-off would continue as part of a broader reckoning with AI disruption that could play out across the economy: “A massive tsunami is about to hit the global economy and software firms are just the sunbathers on the beach that were first to be hit.”
Still, some businesses could actually see their valuations surge as more companies shift to usage-based pricing, according to PwC partner Alex Baker, who leads the firm’s US technology, media and telecommunications deals.
“Where agents become the new user, potentially operating 24/7, a hundred times more actions per day—if you have a true moat and a valuable platform, you’re worth more than you were in the previous environment, right?” he said.
Inspired Capital’s von Tobel said she was spending more time looking for companies that are growing more slowly but have an edge that makes them stickier with customers and indicates their tech can’t be replaced as easily.
“If a company shows up and says, ‘I’ve existed for one month and I went from zero to $100 million of ARR,’ that does not excite us,” von Tobel said. “We look for businesses where actually, the early days are hard. You’re finding hard insights or there’s significant IP—we’ve backed a lot in the infrastructure space, quantum computing, photonics, et cetera, where the ideas are 42-patents-pending-type ideas, where it’s not so easy for a competitor to walk in the door and replicate it.”
Piggybacking on Big Tech’s Good Credit
The AI build-out isn’t a great fit for traditional construction or project financing lending, said Morgan Stanley’s Shah, because the capital needs are simply too big and the pace of development is too fast for those kinds of markets to keep up with. Instead, bankers and investors have had to get creative with new types of lending deals.
One example is Meta Platforms’ joint venture with Blue Owl to build the Hyperion data center campus in Louisiana, which Shah worked on and called a first-of-its-kind transaction. That deal was funded with $27 billion in investment-grade debt but structured so that Meta could keep the debt off its own balance sheet.
Brookfield Asset Management has focused on going deep into data center customer contracts to understand who’s actually on the hook for data canter payments, who the various counterparties are and whether the project can be covered out of the borrower’s own cash flow. Delays in construction—and how borrowers’ own customers might penalizethem—are another risk lenders have to keep in mind.
“There’s generally a point where it has to be operational for that contract to kick in. And if you’re not operational, you may actually have to pay penalties attached to that, and then the debt does not wanna be exposed to that,” said Hadley Peer Marshall, chief financial officer and co-head of infrastructure credit at Brookfield."
Startup GridCare Aims to Tap Hidden Power Capacity,2026-04-27T15:00:51Z,Ann Davis Vaughan,https://www.theinformation.com/newsletters/ai-infrastructure/startup-gridcare-aims-tap-hidden-power-capacity,"Power scarcity is all anyone talks about in the AI world. Funny how we actually have plenty.
GridCare, which emerged last year from a Stanford University sustainability accelerator, has surprised AI developers and even utilities by finding power that they can tap even in congested urban markets where the grid appeared sold out.
Power grids are designed to handle the hottest and coldest days and other periods of peak demand. Utilities have historically built two to three times more capacity than they really needed because calculating the right amount of excess is hard. It turns out that the grid was maxing out less than they thought, GridCare says.
The startup uses artificial intelligence to run quadrillions of simulations to find extra power that utilities could produce and deliver using existing assets. To get the data it needs, GridCare does the grunt work of combining siloed data sources inside utilities including operational data from power substations, weather patterns and grid incidents. It raised $13.5 million last year led by Xora, a venture arm of Singapore’s Temasek, and is announcing a new funding round in May.
If GridCare succeeds, it would be yet another case of Silicon Valley finding invisible, idle capacity and putting it to use, akin to what Uber and Turo did for cars and Airbnb for spare rooms.
The Information got exclusive peeks into GridCare’s work to get power to what CEO Amit Narayan calls stuck projects in impossible places. Location has become increasingly important in AI as more businesses adopt the technology and need rapid response to their queries.
For example, enterprise AI services provider Gruve sought power in the super-saturated data center markets of Santa Clara, Calif., Portland, Ore., Seattle and Los Angeles. GridCare located 150 megawatts of potential power within data centers, other commercial buildings or raw land where, with the addition of some software and backup tools, Gruve could fit.
Stanford researchers working with GridCare have found that U.S. power networks run at just 30% utilization on average. Narayan believes U.S. grid utilization can safely rise to 60% just by employing “code instead of copper.” That would unlock roughly 300 more gigawatts of power that is already paid for—the equivalent of 150 Hoover Dams—on a 1.3-terawatt U.S. grid, he said.
If he’s right, then U.S. utilities might be wasting some of the $1.4 trillion they intend to spend on new capital projects by 2030, largely to power AI. Companies developing AI including Meta and Microsoft are also planning to shell out epic sums to build their own power and keep electricity rates for consumers from rising further.
Narayan said he sees some of the added spending as the equivalent of an airline “buying a bunch of planes because it is Thanksgiving” while running well below capacity for the rest of the year.
GridCare argues that adding new power demand will generate revenue for utilities. The company says that adding a one gigawatt data center to an existing system could generate $350 million in additional revenue and $142 million in earnings, which could fund a 5% rate
decrease
for customers.
There’s a long history of innovators failing to cajole utilities into becoming smarter and more efficient, however. One reason is that utilities are risk-averse, because the only time they get in real trouble is when the power goes out. Another is that industry executives have become masterful at convincing regulators to approve new power plants, which generate a guaranteed rate of return for utilities. So the industry has proved stubbornly resistant to efficiency moves to make more of the resources they’ve already built.
Still, if there’s ever been a moment when companies like GridCare could have an impact, it’s now. GridCare can find spare power in six to 12 months, versus multiple years to build new generating capacity or upgrade the grid. “This is trying to solve for the present,” said Ram Shriram, a founding Google board member and longtime Silicon Valley investor who recently joined GridCare’s board. He added that better utilizing the grid “also improves affordability for the payers already in the system.”
Utilities might actually listen to Narayan, who became GridCare’s CEO after he sold another grid software firm he spun out of Stanford, AutoGrid, to Schneider Electric. AutoGrid helps utilities manage electricity flows from energy sources such as solar panels and batteries that are spread across a company’s territory.
Much of GridCare’s work centers on helping utilities be certain they can meet peak demand even after they’ve added more customers in the form of data centers to their networks.
GridCare began working last year with Oregon utility Portland General Electric to activate 400 megawatts of available power for customers willing to use tools like batteries to retreat from the grid when it was under stress. Last month, National Grid signed on as a partner to find hidden power in its New York territory.
To make it work, a customer who squeezes onto a crowded grid may have to make concessions. Typically data centers demand “five nines” (99.999%) of uptime, so they may have to settle for three nines (99.9%) or maybe even two nines (99%) instead. Still, 99.9% can mean 8.76 hours a year of outages, enough to hurt a data center’s business.
Those concessions though can be addressed in other ways. Battery backups have reached the point where they can prevent much of the downtime. Data centers can also take advantage of the scale of the U.S. power grid. When one region is facing peak demand, others may have surplus power. One startup we’ve cited before,
Emerald AI
, can transfer workloads in milliseconds between AI data centers in faraway locations. It just completed a pilot where it sent computing from Virginia to an affiliated facility in Illinois with virtually no computing time lost. Being able to do this can win a spot on a crowded grid.
In an age of backbreaking AI capex, GridCare could help Silicon Valley once again go capital light.
In other news:
In a closely watched case, Wisconsin’s utility commissioners
announced
substantially strengthened safeguards Friday to make large data center customers pick up the entire tab for new power built to serve them. Microsoft, Oracle and Meta have large projects underway there. Public Service Commissioner Kristy Nieto said, “Wisconsin customers should not pay a single cent to subsidize the service of data centers or very large customers – not now and not decades from now.”
A much-awaited IPO filing from enhanced geothermal darling Fervo Energy revealed that Google (a key long-term backer of the company) has negotiated veto power over Fervo’s partnerships and rights to its technology, potentially edging out deals other hyperscalers might want to make for its power.
Benzinga
called it “a peek into the high-stakes ‘Game of Thrones’ currently being played by Big Tech over the future of the power grid.”"
The Nuances of Cursor’s Gross Margin; Comparing GPT-5.5 and Claude Mythos,2026-04-27T14:00:05Z,Stephanie Palazzolo,https://www.theinformation.com/newsletters/ai-agenda/nuances-cursors-gross-margin-comparing-gpt-5-5-claude-mythos,"Before we get to today’s column, we’ve got an update in tech’s favorite relationship:
OpenAI
and
Microsoft
. As a result of a revision to their deal,
Microsoft Azure
no longer has exclusive rights to sell OpenAI models and that Microsoft no longer has to share 20% of the revenue it makes from selling OpenAI models on Azure with OpenAI.
Both could be significant concessions and it’s hard to immediately gauge which side is giving up more in this deal. The ChatGPT maker’s plan to release an AI agent product through
Amazon Web Services
raised concerns last month among senior Microsoft executives
that the product would violate OpenAI’s contract to run models exclusively on Microsoft’s Azure cloud.
On to today’s column…
Cutting-edge AI is notoriously expensive to run. Some startups classify portions of their AI inference spending as marketing expenses rather than cost of goods sold. While that doesn’t change the overall losses they report, it does help their gross profit margins, a metric investors obsess over.
One example is AI coding startup
Cursor
, which
SpaceX
now has an option to buy for $60 billion. While Cursor’s annualized revenue rate has grown at a steady clip to $2.7 billion last month from $1 billion in November, high computing costs has kept a lid on gross margins. As we
reported
on Thursday, Cursor’s gross margin was negative 23% in the quarter ending in January and only recently turned positive.
But Cursor’s gross margin could look even worse than it does. The company classifies the cost of running servers for non-paying users as a sales and marketing expenses rather than costs of goods sold, according to financial
documents The Information viewed. There’s some logic to that—Cursor could argue that money spent on compute serving non-paying users is simply the cost of acquiring a new customer, or a marketing expense. Someone who isn’t paying might be impressed enough by Cursor’s service to start paying.
Still, the impact of this accounting treatment is striking. If the cost of inference compute for free users was included in COGS, it would have decreased Cursor’s gross margins for the quarter ending in January from negative 23% to about negative 31%, the documents said.
These “heartburning” gross margin figures, as one investor who looked at the finances called them, likely reflect Cursor’s hefty payments to
Anthropic
and
OpenAI
, whose cutting edge models power much of Cursor’s product.
To be fair to Cursor, Anthropic also doesn’t count inference costs for non-paying users as COGS, though it breaks out the costs separately so investors can include them in their COGS calculations if they want. The inference costs are a separate line item in the operating expenses part of the income statement.
OpenAI, however, includes inference costs for non-paying users in its COGS by default. Both companies had around 40% gross margins in 2025. Both Anthropic and OpenAI generated a lot more revenue than Cursor in that period, to be sure.
On the bright side, Cursor’s compute costs for non-paying users have been declining in recent quarters, to $27 million in the quarter ending in January from $78 million in the quarter ending last July, according to the documents. This could be due to the fact that it’s increasingly training its own smaller and cheaper models to power non-paying users rather than using more expensive AI from OpenAI and Anthropic.
Still, despite the reduction, compute costs remain an enormous burden for AI application startups like Cursor. That might explain why its executives decided to join forces with SpaceX rather than to continue going it alone.
Another possible factor is that founders are already being squeezed because AI servers are becoming much harder to find, we
reported
on Friday.
The debate over Cursor’s gross margins is just one example of the many accounting questions looming over the AI field. They include how the model companies account for compute costs and
revenue from cloud providers selling their products
. Some of these questions will be settled when the AI model developers go public later this year or next year.
Here’s what else is going on…
Comparing GPT-5.5 and Claude Mythos
On Thursday,
OpenAI
released its
long-awaited “Spud” GPT-5.5 model
, which gives us a chance to compare the performance of the new AI with
Anthropic’s
yet-unreleased
Claude Mythos
model, at least based on the two models’ system cards.
Based on the relatively small set of overlapping benchmarks, OpenAI’s
GPT-5.5
model performs impressively well, only trailing Claude Mythos by a few percentage points in most benchmarks and even beating it on coding benchmark
Terminal-Bench 2.0
.
Chart by Mike Sullivan
Of course, we’ll have to wait until both models are released and widely used before we can get a true sense of how they compare to each other. (And OpenAI might argue that developers should compare GPT-5.5 to the recently-released
Claude Opus 4.7
rather than Mythos.)
The cybersecurity results from both are especially interesting. Even though they’re only within one percentage point or so of each other on the
CyberGym
cybersecurity benchmark, OpenAI decided to release its model while Anthropic decided Mythos’ cybersecurity capabilities made it too dangerous for a wide public release.
To be fair, Anthropic says that its decision to not release Mythos goes beyond benchmark results and was specifically due to Mythos’ ability to find security vulnerabilities, develop working exploits and string them together without any human steering. It also says that the CyberGym benchmark is largely saturated, meaning that it’s too easy for today’s models to draw any conclusions from comparing how two different models perform on it.
Meanwhile, OpenAI said in its GPT-5.5 system card that the model was “unable to produce functional critical severity exploits in any of the tested software projects in standard configurations.”
Still, it’s striking just how close some of the results are on other benchmarks between the two models, given all the hype and fear that’s drummed up around Mythos. While Anthropic wildly succeeded in getting attention for Mythos, it certainly didn’t do so safely:
outsiders already got unauthorized access to the model
.
Big Number
Nvidia
shares closed at an all time high of $208.27 on Friday, giving the company a
market capitalization of $5.06 trillion
, marking a new stage in the AI chip’s dominance.
Court Watch
The federal judge overseeing
Elon Musk’s
lawsuit against
OpenAI
granted Musk’s request to
dismiss his fraud claims
against the ChatGPT maker. Judge
Yvonne Gonzalez Rogers’s
ruling on Friday was in response to a proposal this month from Musk’s lawyers that the claims be dropped provided the court confirmed that it would proceed with Musk’s remaining claims of breach of charitable trust and unjust enrichment.
Policy Watch
The Chinese government is
planning to restrict
tech firms from receiving funding from the U.S. without prior approval, as part of Beijing’s response to
Meta
Platform’s
acquisition of AI agent startup
Manus
, Bloomberg reported.
Meanwhile, Chinese regulators on Monday
blocked
Meta Platforms’ $2 billion acquisition of Manus and ordered the companies to terminate the deal.
People on the Move
The
White House
pushed out
Collin Burns
as the new head of the
U.S. Center for AI Standards and Innovation
, the federal government’s primary point of contact with the AI industry, after only four days on the job, the Washington Post reported. Burns previously worked at
Anthropic
. He was replaced by
Chris Fall
, who was previously the director of the
Energy Department’s
office of science.
Overheard
OpenAI
CEO
Sam Altman
apologized to Tumbler Ridge, the Canadian town that was the site of a mass shooting earlier this year that killed eight people. OpenAI had previously suspended the shooter’s
ChatGPT
account but did not notify authorities.
“I am deeply sorry that we did not alert law enforcement to the account that was banned in June,” Altman
wrote in a letter
. “Going forward, our focus will continue to be on working with all levels of government to help ensure something like this never happens again.”
Deals and Debuts
See The Information’s
Generative AI Database
for an exclusive list of private companies and their investors.
Google
has agreed to
make an additional investment
in
Anthropic
of up to $40 billion. Google, an early backer of Anthropic, will initially invest $10 billion in at a $350 billion valuation. Google will invest the remaining $30 billion once Anthropic reaches certain unspecified performance targets.
Related Digital
and
Blackstone
finalized financing
for a $16 billion data center campus in Michigan being built for
Oracle
, the latest in a series of projects planned for Oracle to rent computing capacity to
OpenAI
. The project’s financing was uncertain at one point after
Blue Owl
decided not to back a $10 billion financing for it, the Financial Times reported in December.
The Canadian AI lab
Cohere
will
acquire the German AI lab Aleph Alpha
for an undisclosed price, the companies said Friday.
Schwarz Group
, the German investment firm that is one of
Aleph Alpha’s
biggest backers, will also invest $600 million in Cohere’s upcoming Series E funding round, the companies said.
Pudu Robotics
, which makes service robots for restaurants, hotels and hospitals, raised about $150 million in a new funding round at a valuation over $1.5 billion.
Omni
, which provides a “semantic layer” between a company's data and the AI tools that use it, raised $120 million in a Series C funding round led by
Iconiq
at a $1.51 billion valuation, Fortune reported.
Avoca
, which builds AI for home services, has raised more than $125 million at a $1 billion valuation. That funding includes a Series B led by
Meritech
and
General Catalyst
and a Series A led by
Kleiner Perkins
.
Verda
, a European neocloud, raised about $117 million in an equity round led by
Lifeline Ventures
, with equity participation from
byFounders
,
Tesi
and
Varma
, and debt financing from a group of Nordic financial institutions.
Human
, a startup from
Stanford University
professor
James Zou
focused on applying AI to physiology and human biology, is aiming to raise about $100 million at valuation around $1 billion, Bloomberg reported.
Cloudsmith
, which helps engineers manage their software for developing AI applications, raised $72 million in a Series C funding round led by
TCV
.
Orkes
, which provides software to orchestrate AI agents, raised $60 million in a Series B funding round led by
AVP
.
ComfyUI
, which gives creative professionals more control over AI-generated images, videos and audio, raised $30 million at a $500 million valuation in a Series B funding round led by
Craft Ventures
.
Meta
and
Amazon
announced a deal on Friday for Meta to
use Amazon’s Graviton chips
, a CPU designed for general computing, unlike GPUs which are specific for training AI models.
Cyera
, a cybersecurity company, acquired
Ryft
, which provides AI agents access to secure data.
DeepSeek
on Friday
launched V4
, its highly anticipated new series of open-source AI models with enhanced reasoning and coding capabilities, after inital delays."
OpenAI’s AWS Push Comes As Customers Embrace Rivals,2026-04-27T13:00:42Z,Catherine Perloff,https://www.theinformation.com/articles/openais-aws-push-comes-customers-embrace-rivals,"Amazon has touted a deal to finally bring OpenAI to its Amazon Web Services cloud unit with a new offering geared toward running AI agents. But some AWS customers have shrugged at the announcement, in part because they’ve come to rely on other model makers in the three years since OpenAI set off the AI boom.
Six firms that work with AWS, either as customers or as consultants to customers, said they and their clients have been happy using models AWS offers through its Bedrock service, including from Anthropic and budget-friendly options like Amazon’s own Nova. While some said they might evaluate using the OpenAI products once they launch, others are already accessing OpenAI through other clouds.
The OpenAI announcement “might have been important a few years ago because what we’re seeing is Qwen and DeepSeek are actually where the action is at,” said Adam Sandman, CEO of testing and quality assurance software firm Inflectra, which uses AWS . “We feel like for coding [and] a lot of tasks we’re doing, Claude is better.”
In February, Amazon announced an initial $15 billion investment in OpenAI and said it planned to offer OpenAI’s technology to AWS customers on its Bedrock service through a “stateful” runtime environment, which retains details across interactions and enables more continuous use. AWS will also offer OpenAI Frontier, which helps companies deploy “AI coworkers” and offers hands-on technical support.
The OpenAI offering has yet to launch, and it’s always possible more customers will show interest once Amazon starts marketing the service in detail. AWS executives including CEO Matt Garman and OpenAI leaders are due to talk at an event for AWS customers on April 28 about agentic AI, though exact details of what they will discuss could not be learned.
Some AWS customers do see benefits in the stateful runtime technology that Amazon announced. Cris Daniluk, CEO of Rhythmic Technologies, which offers AWS consulting services, said it is currently difficult for AI to work autonomously, often requiring custom scripts to coordinate agents and track where one agent leaves off, and a stateful runtime could make this process seamless.
“I would love to be able to use [it] with Nova and Anthropic models,” Daniluk said. “It’s actually a little annoying that you’re required to use OpenAI, but I also think the models will do very well.”
Daniluk said that the new product could be more appealing to clients who were interested in using OpenAI technology but never had, because they didn’t want to switch to Microsoft Azure. Earlier this month, an OpenAI executive
said in a memo
that demand for the new AWS offering was “staggering.”
Still, the lukewarm reaction to the initial announcement from some AWS customers highlights the challenges facing OpenAI, which is trying to catch up to Anthropic in the enterprise market. OpenAI leaders recently told staff to reduce their work on side quests so they could concentrate on winning more enterprise business. Anthropic’s gains were reflected in its disclosure that it recently reached $30 billion in annualized revenue, a little ahead of OpenAI.
“We’re seeing unprecedented interest in the new Stateful Runtime Environment product. Enterprise customers want solutions that enable teams to accomplish more and drive real ROI,” an OpenAI spokesperson said. “This new product will do precisely that by enabling enterprises to put agentic workflows into production natively in Amazon Bedrock. We’re excited to share more details soon.”
An Amazon spokesperson said “there’s incredible customer excitement building around the stateful runtime environment powered by OpenAI models arriving soon in Amazon Bedrock.”
AWS has sold various AI models through its Bedrock service since 2023, including those from Anthropic, Meta Platforms, and Amazon’s own Nova line. But Microsoft Azure has been the exclusive cloud provider for OpenAI’s models, a partnership tied to Microsoft’s investments in the AI firm. OpenAI and Microsoft revised that agreement last year, allowing OpenAI to sell  certain technology through other clouds.
But Microsoft executives had
raised concerns
that broader distribution on AWS could violate Microsoft and OpenAI’s contract. On Monday, the companies revised their agreement again, saying OpenAI will now be able to serve all products across any cloud provider and that Microsoft’s license for OpenAI models and products will no longer be exclusive.
Amazon, for its part, has long said that its AI strategy involves giving customers flexibility while it provides the underlying infrastructure. Earlier this month, Amazon announced it was investing another $5 billion in Anthropic as part of an extension of Anthropic’s agreement to use AWS infrastructure.
Too Late?
Some software firms that use AWS as their main cloud provider, such as IT software firm Xurrent, have stayed put rather than seeking OpenAI elsewhere. Several years ago, Xurrent considered incorporating OpenAI into its software, but moving data to Microsoft’s cloud clashed with customer demands to keep their data within AWS.
Instead, Xurrent used Anthropic models available on Bedrock. Now, Xurrent chief product officer Phil Christianson sees little value in switching. “Two, three years ago [accessing OpenAI] would have been great, but now it’s okay,” he said. “There’s no juice to squeeze…The frontier models [are] all so good.”
And some software firms’ own clients who once sought out OpenAI independently have since reversed course. At Inflectra, the share of customers opting for Azure to access OpenAI has dropped from 10% around two years ago to under 1% currently, with the vast majority returning to Inflectra’s managed AWS service using Bedrock models.
“Maybe two years ago, the OpenAI functionality and the models were perceived as getting better output for the same input prompt,” Inflectra’s Sandman said. “No one’s mentioning [OpenAI] now. Claude got better. Nova became good enough for the price point.”
At the same time, some AWS customers have also grown more comfortable using other cloud providers to access AI models. An executive at a customer service software firm noted that 12 to 18 months ago, clients were skittish about multi-cloud setups due to data control concerns.
But the benefits of spreading AI workloads eventually outweighed those concerns, the executive said, because AI infrastructure remains constrained and performance varies. The firm now routes requests to the best-performing cloud in real time to reduce latency, a critical factor in customer service."
