标题,时间,作者,链接,内容
Elon Musk’s Legal War With OpenAI’s Sam Altman Set for Showdown in Court,2026-04-24T19:54:28Z,Rocket Drew,https://www.theinformation.com/articles/elon-musks-legal-war-openais-sam-altman-set-showdown-court,"The artificial intelligence era’s biggest legal battle heads to a showdown next week, as Elon Musk and
OpenAI
CEO Sam Altman are scheduled to face off in a federal courtroom in Oakland, Calif., over the future of the company that pioneered the AI boom.
The trial in Musk’s lawsuit against Altman, OpenAI and its partner Microsoft starts with jury selection on Monday and is expected to run through mid-May, barring some last-ditch settlement.
People close to both Musk and OpenAI executives have been trying to convince the parties to settle by agreeing to give Musk a piece of the OpenAI foundation, according to several people familiar with the conversations. But it is unclear if either side has been receptive to their suggestions.
The trial promises to be one of the biggest spectacles of power and pettiness that Silicon Valley has produced, with a witness list that includes not only Musk and Altman, but Microsoft CEO Satya Nadella and other current and former top executives from Microsoft, OpenAI and Musk’s corporate empire.
The stakes could be monumental for OpenAI, which Musk co-founded a decade ago with Altman as a nonprofit. Musk alleges the startup broke promises to him and violated its charitable mission in several ways. He is seeking the disgorgement of assets that can be traced back to his original contributions. An economist that Musk hired estimated in December that his interest was
worth up to $109 billion
, at a time when OpenAI was valued at $500 billion. At OpenAI’s latest valuation, that estimated interest could equate to as much as $187 billion.
Yvonne Gonzalez Rogers, the judge hearing the case,
has said
that she didn’t find the methodology of Musk’s economist convincing, saying he appeared to be “pulling these numbers out of the air.”
OpenAI has said that Musk’s claims are a baseless attempt to disrupt its growth by a tycoon who competes with it through xAI, which he founded in 2023. Musk’s AI startup is now part of SpaceX, the conglomerate he leads that is planning a massive IPO for June. An OpenAI spokesperson on Friday said that Musk’s case has been about trying to attack the OpenAI nonprofit. Asked about the possibility of any legal settlement, they said: “We will continue to stand and fight for the mission.”
The implications extend to a host of other tech giants and prominent investors that have pumped money into OpenAI, including Amazon and Nvidia. They are also benefiting enormously from the AI frenzy that OpenAI initiated when it launched ChatGPT more than three years ago. OpenAI this month finalized a $122 billion funding round—the largest in history—which valued it at $852 billion including the new cash.
If a jury finds OpenAI liable, Musk is also asking the judge to issue an order reversing OpenAI’s October restructuring, which converted its for-profit wing to a corporation with traditional equity. OpenAI has said that the restructuring, already approved by regulators, was a necessary step toward its ambition of going public, so unwinding it could obstruct that plan. Lawyers following the case
have said
the court is unlikely to issue such a disruptive order.
Musk also wants the court to order OpenAI to observe its charitable mission by prioritizing work on AI safety and releasing its research publicly, and to remove Altman as a director of OpenAI’s nonprofit board.
“This is going to be an enormously significant case,” said Anupam Chander, who teaches AI regulation and contracts as a law professor at Georgetown University. “This is going to be a trial in the courtroom, but also in the press, where the parties are going to throw stones at each other, but they all live in kind of glass houses.”
“Many Americans don’t see a good guy in this rivalry,” he said. “For many Americans, it’s a pox on both their houses.”
The trial will retrace how Musk donated $38 million to help establish OpenAI in its early days, when it was a charity chartered to ensure that powerful AI benefits humanity. And it will show how Musk had a falling out with his co-founders—including OpenAI President Greg Brockman, whom Musk also names as a defendant—and left the fledgling organization before it took investments from Microsoft and established the for-profit arm to finance its need for pricey AI chips.
Musk alleges that by taking Microsoft’s money, keeping OpenAI’s technology proprietary and deprioritizing safety efforts, OpenAI committed fraud, was unjustly enriched and breached its “charitable trust.” He claims Microsoft abetted that breach, in part by interfering in the OpenAI board’s brief ouster of Altman in 2023.
Musk first sued OpenAI two years ago, then
dropped that suit and refiled
after hiring Marc Toberoff, a prominent Hollywood attorney with a flair for drama. In the renewed complaint, Toberoff set the tone for the lawsuit, writing that OpenAI’s “perfidy and deceit are of Shakespearean proportions.”
Since Musk filed the suit, he and Altman have traded insults and accusations in an endless series of social media posts and legal filings—one reason people have been skeptical that a settlement could be reached. Altman has accused xAI of creating “anime sex bots for children,” while Musk has referred to him on X as “Scam Altman.”
Among the unresolved legal questions on the trial’s eve: whether OpenAI’s nonprofit or for-profit entity would have to disgorge billions of dollars if it loses, and who would receive those funds.
Musk has said he doesn’t want any money for himself, but wants the OpenAI corporation to transfer any money to its nonprofit. Microsoft countered
in a legal filing
Wednesday that such an outcome is “anomalous and untenable” because it would return money to the very nonprofit that Musk alleges betrayed its mission.
Musk’s lawyers have said he would drop his fraud claims as long as the court agrees to proceed on the claims of breach of charitable trust and unjust enrichment.
OpenAI’s lawyers responded
in a legal filing
Wednesday that Musk shouldn’t be allowed to make his decision conditional on the court. They seized on his latest move to argue that Musk “has no standing to sue on behalf of the public [or] the OpenAI nonprofit.” If Musk no longer says he was injured personally, their argument goes, that leaves him without standing to argue for OpenAI to give up its money. “A plaintiff cannot come to court just to air a grievance,” they said.
Late Friday, Judge Gonzalez Rogers affirmed that the breach of charitable trust and unjust enrichment claims are going to trial, and therefore dismissed the fraud claims as Musk’s lawyers requested.
During evidence discovery, both parties unearthed email records supporting their sides. Musk’s lawyers will invoke threads in which Altman stated he was enthusiastic about OpenAI maintaining its charitable structure and
private notes from Brockman
contemplating the fastest way he could become a billionaire.
OpenAI’s lawyers are sure to point to email records of Musk proposing that OpenAI could merge with Tesla, his own for-profit corporation. They will also argue that Musk waited too long to bring his case, and the statute of limitations has expired.
Chander said he already plans to discuss the trial when he teaches his contracts course in the fall to illustrate the perils of resting millions of dollars on a handshake deal. “I think this is all going to be new legal ground,” he said. “It’s going to be taught in casebooks in the future.”"
Should AI and Christianity Mix? Pat Gelsinger and Gloo Holdings Sure Think So,2026-04-24T17:33:42Z,Jemima McEvoy,https://www.theinformation.com/articles/ai-christianity-mix-pat-gelsinger-gloo-holdings-sure-think,"Last year, Pat Gelsinger found himself pondering a thorny, existential question: What should he do with his life after Intel?
The chipmaker
had unceremoniously ousted
him in December 2024, and shortly after, his wife Linda gave him a firm nudge. “You’re not done yet,” she told him, as Gelsinger recalls it. So Gelsinger considered roles in government and private equity. Neither seemed right. Instead, he decided to embark on an unusual crusade by taking up a post as executive chairman and head of technology at Gloo Holdings Inc., a Boulder, Colo.-based company that sells AI products and other software. He’s the person responsible for developing the tech that the publicly traded company hopes to sell to every church, congregation and Christian-minded company it possibly can.
“This genie isn’t going back in the bottle,” said Gelsinger, 65. “The AI models get embedded into everything going forward.” And as a result, “we need those to be good,” he said—as in, morally good, not just good, sophisticated pieces of software.
“They need to reflect who we are as a people, as humans—as creations in God’s image,” Gelsinger said.
Pat Gelsinger speaks at a 2024 Intel event in Tawian. (Getty Images)
Gloo’s corporate proselytizing is gaining some momentum. The company expects to reach $190 million in revenue this year, up from $90 million last year, and more than 140,000 churches and ministry leaders already use its dozens of wide-ranging products. Among them is a subscription-based web platform for pastors and anyone else managing a church that includes an AI chatbot that drafts sermons, schedules volunteers and writes personalized messages to congregants. The platform will also automatically chop up lengthy sermons into captioned clips optimized for social media, ranking the clips in its library based on their potential to go viral. (Gloo offers a free version that contains a few of the programs, along with several subscription tiers that provide additional features.)
For organizations like universities, nonprofits and businesses that want to develop their own AI products, Gloo sells a product, Gloo AI Studio, which offers versions of popular large language models that the company says it has trained to better adhere to Christian values. What’s the result? Well, ask a model that has been modified with Gloo’s technology about the purpose of life, and depending on the model it may respond thusly: “to glorify God.” At the moment, Gloo AI Studio is used by companies like the Waco, Texas-based LYTE, whose daily devotional app was built using the technology.
Gelsinger’s public embrace of his new role at Gloo coincides with a broader religious resurgence in Silicon Valley. For decades, as he rose through the ranks at Intel and then the software giant VMware, Gelsinger was one of few openly Christian executives in Silicon Valley and would regularly post Bible verses on X. He seemed like an oddity: At the time, technology and religion were seen as unmixable forces. But in recent years, that perception has softened, with a growing number of the
tech elite
publicly
embracing their faith
.
With Gelsinger and Scott Beck, the company’s cofounder and CEO, at the helm, Gloo takes a maximalist approach to melding AI and Christianity together. More broadly, though, the religion’s faithful remain divided over how to approach AI—a tension reflected in Gloo’s own data. A February
study
by Barna Group, a research firm owned by Gloo, found that under a third of U.S. adults trust spiritual guidance from AI the way they would from a pastor. Meanwhile, Pope Leo XIV
reportedly
warned clergy at a recent meeting against the “temptation” of using AI to write sermons, arguing that large language models cannot replicate genuine faith.
Clearly, Gloo’s path forward isn’t totally rosy. Since going public in November, its stock has dropped around 14%, while the Nasdaq has gone up about 10%. It also remains deeply in the red, posting a $159 million net loss last year, up from $86 million in 2024. Beck and Gelsinger hope to eke out a profit this year, which would ease the worries that hang on the stock, said Yun Kim, a Loop Capital analyst who covers the company.
“The No. 1 focus for all the investors is [whether] they’ll reach profitability by the fourth quarter,” he said. “That’s the No. 1 catalyst for the stock.”
Beyond just pushing its own AI products, Gloo is also trying to change what other large AI companies are selling. Over the past year, the company has developed a system for evaluating major models from OpenAI, Anthropic, Google and other firms based on how they promote faith and “human flourishing,” a term originally coined in Harvard University research that sought to quantify the pillars of a happy and fulfilled life. (The company is interested in this non-religious metric because some of its customers are nonprofits focused on causes like homelessness or poverty, rather than Christian organizations.) To assemble the system, Gelsinger and Gloo partnered with Valkyrie, an Austin,Texas-based AI startup, and Biblica, a nonprofit focused on Bible translations, to compile more than 1,200 questions that spanned faith, finance and relationships, among other topics. They then tested nearly 30 models against them. While some performed well on more general questions related to “character” or “health,” they all failed on the subject of “faith,” according to Gloo’s analysis.
Gelsinger has been presenting this research to the leaders of AI labs, whom he thinks should present options that allow users to refine AI models to reflect a “Christian worldview.” He would not name the companies he’s met with. Those conversations are ongoing.
Gloo sees an opening to win converts to its mission in Silicon Valley. Last October, the company opened a Palo Alto office, in part to help draw more tech talent. Gelsinger recently bought a condo a few minutes walk away where he stays during the week. His main home is in Sonoma. The condo is also close to the office of Playground, a venture capital firm where Gelsinger is a general partner.
“I’m creating the perfect life,” he said. “If I want to see my wife, I know where she is: two hours away in wine country.”
Gelsinger’s arrival has helped breathe new life into 13-year-old Gloo, which has lacked a clear direction in the past and has also previously been caught up in controversy.
The company was founded in 2013 by Beck and his wife, Theresa. Beck previously founded Einstein Bros. Bagels and held executive positions at multiple large consumer brands, including Blockbuster and Boston Market. On the side, he said he and Theresa would fund campus and marriage ministries through their family office. That’s where Beck spotted an opportunity. Many of the ministries were still using bulletin boards and other outdated tools to communicate with their congregants. He wanted them to “get the benefit of the next generation of technologies,” he said.
The company’s use of that technology in a religious context was sometimes controversial. According to a Wall Street Journal
report
, the company used a mix of third-party and church-supplied data to help churches target ads to people experiencing mental health concerns and personal crises, like marital problems: Gloo figured they’d be likely to seek comfort by joining a congregation. In marketing materials, Gloo claimed to have “thousands of data attributes” on 245 million people in the U.S.
A spokesperson for Gloo said the company discontinued this product, Gloo Insights+, in early 2021, three years after it was introduced. The spokesperson went on to stress that Gloo is “not a data mining company.”
Advertising and marketing do remain a major part of Gloo’s business, accounting for roughly half of Gloo’s overall revenue. Most of that comes from Masterworks, an ads and fundraising platform used by churches and larger Christian organizations to reach possible donors.
Masterworks was purchased by Gloo last July, and its former CEO, Bryan Brown, now runs
Gloo’s entire advertising business. The company has “specialized in helping figure out where Christians go” online, he said, which has allowed Gloo to create a workaround for strict data privacy laws that ban targeting users by religion. Instead of tracking individuals, they buy ad inventory on platforms Christians frequent, such as Christian publications and radio stations, reaching the audience without violating sensitive data protections, according to Brown.
Masterworks is part of Gloo’s recent M&A binge. Since 2023, it has bought 18 companies, including Church Law & Tax, which sells a web platform to churches for managing legal and financial matters; Church Metrics, an analytics tool for tracking church attendance; and Outreach, a Colorado Springs, Colorado-based outfit that sells church accouterments, like banners, signs and chalice communion cups.
Pope Leo XIV has spoken out against AI and using it in religious services. (Getty Images)
All these acquisitions have helped boost Gloo’s revenue. But they were costly, and the company is now laser-focused on reducing expenses and reaching profitability by the end of the year, according to Gelsinger. Going public last year helped Gloo restructure a large portion of the roughly $180 million in debt it had pre-IPO. (Gloo raised $73 million from its public offering and converted about $140 million of its debt into equity.)
Still, the company seems far from making money. To that end, Gloo conducted layoffs of its staff in December and January, and both Gelsinger and Beck cut their salaries to $1. For the former Intel CEO, the experience inspired some déjà vu. “I did this at Intel at one point as well,” Gelsinger said. “If we don’t make those hard trade-offs, get to profitability, get to sustainable growth, then we can’t do anything going forward.”
Last week, Gelsinger took Gloo’s pitch out to a like-minded audience at the Missional AI Global Summit, which convened in a Marriott ballroom down in Santa Clara just as HumanX, the giant AI conference catering to the industry’s mainstream, was getting underway in San Francisco. The Missional AI event, which began in 2019, bills itself as the premier gathering for Christian leaders, technologists and AI professionals and has ballooned in popularity recently.
The event had a jubilant air. To open the event, Eric Célérier, founder of HelloBible, a France-based AI chatbot for Bible questions, led the crowd in the Lord’s Prayer and recounted how he kissed the floor upon landing at the Santa Clara airport, saying he “finally felt at home.”
Throughout the day, Christian leaders and entrepreneurs showcased how AI is reshaping their work—from translating TV shows into hundreds of languages to driving record downloads of their apps. Bobby Gruenewald, founder and CEO of YouVersion, whose Bible App has been downloaded more than 700 million times from the Apple App Store, said he personally uses one billion tokens a week and 16 agents.
During on-stage remarks, Gruenewald mentioned that he was recently asked about whether he ever confuses the Holy Spirit with ChatGPT—especially when God takes a long time to respond and a chatbot provides an answer in seconds. At least for the time being, Gruenewald shrugged off the possibility. AI “has use cases that are incredible but it also has limitations,” he said.
When I asked Gelsinger about this, he was less convinced. He believes AI chatbots will be used for prayer and said he already sometimes uses the technology to do so.
He concedes that AI isn’t perfect. “Am I concerned that people could use this tool inappropriately? Very much so. But to say, ‘Don’t use the tool.’ To me, that’s like, ‘Don’t use a word processor—we should go back to chisel and quills,’” Gelsinger said. “It will be used, and now the question is, ‘How can we make sure it’s used well?’”"
"Microsoft Tightens Grip on GPUs, Pressuring AI Customers",2026-04-24T13:00:45Z,Stephanie Palazzolo,https://www.theinformation.com/articles/microsoft-cloud-providers-tighten-grip-gpus-pressuring-ai-customers,"AI startups are struggling to access
Nvidia
graphics processing units as
Microsoft
and other cloud providers divert GPU stockpiles to their internal teams or bigger cloud customers, leaving smaller firms scrambling for the remaining servers at higher prices.
The supply crunch is impacting well-funded AI startups that have raised money from Sequoia Capital, Founders Fund, General Catalyst and Andreessen Horowitz and other major investment firms, according to founders and investors at some of those firms. The shortage prompted General Catalyst’s Hemant Taneja to send a survey to founders, inquiring about their ability to access compute, according to a person with direct knowledge.
“We’ve heard from many of you that compute—and GPU access in particular—is one of the biggest bottlenecks you’re facing this year,” Taneja wrote.
The dynamic is
reminiscent of early 2023
, when cloud providers clawed back capacity from their cloud services to support their internal teams and a few key customers, such as OpenAI. Venture firms including Andreessen and Index Ventures ended up securing their own pools of GPUs to ease the crunch for their portfolio companies.
But unlike that period, when AI applications were nascent, exceptional demand for AI coding tools is exacerbating the current shortage. Cloud providers are tightening GPU capacity for smaller customers as demand surges from large AI developers such as Anthropic, as well as for coding and other automation tools, according to executives at the cloud firms and startup founders.
This time around, General Catalyst is working on a way to help its portfolio companies access GPUs, potentially by facilitating a shared pool of capacity or directly negotiating on a startup’s behalf.
The chip shortage is allowing cloud firms to raise prices they charge to rent Nvidia-powered servers. That’s providing a much-needed boost to cloud provider margins, after some recently struggled to make money on the chips.
But the higher prices are felt by startups like Krea, which develops image-generating AI models. The four-year-old startup has raised $83 million in funding from investors including Andreessen and Bain Capital Ventures.
Six months ago, Krea signed a six-month contract to rent several hundred Nvidia Blackwell chips for $2.80 an hour per chip after several cloud providers competed aggressively for the startup’s business. But in the last month, when the startup began looking for more AI servers to train a model from scratch, some sales representatives at cloud providers wouldn’t pick up the phone, said co-founder and CEO Victor Perez.
When sales representatives finally did return their calls, they told him prices had increased significantly and they wouldn’t engage with him unless he signed a three-year commitment.
“Some ghosted, some told us no availability, others tried to get us into crazy bad deals,” Perez said.
And while Krea was evaluating offers for some clusters, those clusters ended up getting scooped up by other customers within days, he said.
In the end, the founders reached an agreement to pay $3.70 an hour for another several hundred Blackwell chips in a one-year commitment—32% higher than their last deal. And even that price seemed cheap, given the chip prices he had seen from other providers.
“The biggest fear for us is to not have compute where we can run our platform and run models where we want to train,” Perez said. “If the price gets a little higher, it’s not going to kill us.”
In another example, a startup founder seeking to rent a tightly connected cluster of nearly 1,000 GPUs said an Nvidia salesperson told them last week that it would be difficult to find such a cluster at the largest cloud providers, given the number of customers seeking chips in even greater numbers. The founder said they are still looking for a cluster, which would cost more than $70,000 per day to rent.
Contract Renewals
Making matters worse for startups is that Microsoft, Amazon, CoreWeave and other cloud providers are making ever-bigger multibillion-dollar commitments to provide large numbers of GPUs to Anthropic and OpenAI. (Those commitments
haven’t been enough to stave off a compute shortage at Anthropic
as it experiences an unprecedented growth spurt.)
Another reason for the shortage: Many AI startups previously struck two- or three-year cloud deals that are now coming to an end, giving cloud providers an opportunity to sell them higher-priced deals or reallocate that capacity to other parties.
For example, one CEO of an AI cloud provider said they recently planned to shift one customer’s GPU cluster to another customer that was willing to pay around 30% more because the original customer’s contract was up for renewal. But after the original customer pleaded to keep their chips, the cloud provider ended up letting them keep the GPUs at the higher price.
GPU cloud provider Lightning AI, meanwhile, has around 40,000 GPUs online but a backlog of potential rental orders from roughly 40 customers seeking about 400,000 GPUs, CEO Will Falcon said. That’s driven up prices more than 25% in the last six months, Falcon said, from around $1.60 per hour per chip to more than $2 now and even higher in some cases. (Most of Lightning’s chips are Hoppers, an older generation of Nvidia chips.)
Microsoft’s Use ’Em or Lose ’Em Policy
At Microsoft, demand from large customers and internal Microsoft teams prompted the company’s Azure cloud group to limit how many servers it is willing to rent to smaller customers, according to a Microsoft employee with direct knowledge. Some of the smaller customers are already facing months-long wait times to rent additional GPUs, this person said.
Azure sales leaders have recently told staff that customers should expect long wait times to persist at least through the end of 2026, this person said.
Microsoft has long reserved its largest clusters of cutting-edge chips for OpenAI and its own internal use, and is also building new clusters for Anthropic. For other Azure customers, getting access to GPUs depends on how much money they’re already spending on Azure cloud services and how much additional cash they’re willing to commit to the AI servers.
For instance, Microsoft in recent months began asking customers that want access to Nvidia Blackwell chips to commit to renting at least 1,000 of the chips for at least a year, a contract that costs tens of millions of dollars at a minimum, according to the Microsoft employee with direct knowledge.
Customers must wait weeks or months to rent even a small number of older generations of Nvidia chips on Azure, according to the Microsoft employee and a customer that has tried reserving chips.
The length of the wait time depends on customers’ existing relationship with Azure, which prioritizes customers based on a tiered system, the Microsoft employee said. Tier 1 customers who get priority access include roughly 1,000 of its biggest cloud spenders while Tier 2 customers are smaller spenders but still big enough that Microsoft assigns dedicated sales representatives to manage their counts. Tier 3 customers are smaller businesses whose relationship is managed by one of Microsoft’s reseller partners, such as CDW.
Customers that don’t commit to reserving a large number of GPUs face long wait times to rent the chips on a pay-as-you-go basis. After Microsoft gives them GPU capacity on that basis, it tracks how much they’re using the GPUs and may remove their access if they let the servers stay idle for even a few hours, the Microsoft employee said.
Similarly, Microsoft has been rescinding GPU access for some companies that got access to the chips through Microsoft for Startups, a program that gives startups free credits to rent servers. Microsoft has told such startups that they will lose access to GPUs if they aren’t fully utilizing the chips, the Microsoft employee said.
Going Direct?
Some startup founders might bypass the cloud providers altogether. Collin McLelland, founder of the startup Collide, which raised a $14 million seed round last year and is developing AI agents for oil and gas companies, said his company is considering spending around $500,000 to buy Nvidia GPUs to run on their own because he got fed up with long wait times and constraints of renting GPUs from large cloud providers. Collide is considering leasing space directly from a data center firm or a cloud provider to host the GPUs after receiving them, he said.
While buying and installing the GPUs is significantly more expensive in the short term than renting them from a cloud provider, McLelland said, he determined it was worth doing to avoid delays and uncertainty around the rentals, and expects to spend less on the GPUs compared to renting them over several years.
“It’s a huge risk for us to not have any compute when we need it,” he said. “Most people are just scared of hardware. I’ve owned oil wells so I’m numb to it.”"
