标题,时间,作者,链接,内容
Apple's Cash Strategy Shift,2026-05-01T00:10:49Z,Martin Peers,https://www.theinformation.com/newsletters/the-briefing/apples-cash-strategy-shift,"Tim Cook is going out with a bang. Apple reported a stellar March quarter on Thursday, delivering 17% higher revenue, thanks to 22% growth in iPhone revenues, a big change from several years of anemic growth in sales of the ubiquitous device. In other words, far more consumers are upgrading their old iPhones than has been the case for a while.
Cook, who recently announced he would step down as CEO—to be succeeded by hardware executive John Ternus—on Sept. 1, was as ebullient as ever on Thursday’s call. As is the Apple way, he and Ternus traded over-the-top compliments. Ternus described Cook as “one of the greatest business leaders of all time,” while Cook gushed, “There is no one on this planet I trust more to lead Apple into the future than John Ternus.” Even before Cook steps down, though, Apple is making some big changes.
For one thing, as Cook pointed out on an earnings call, the company increased its research and development spending 34% in the quarter, reflecting investments to take advantage of “opportunities we see in both” products and services, Cook said. Apple has never been known for its lavish R&D expenditures—as a percentage of revenues, its R&D expense has hovered around 8% in the past few years, about half that of Google parent Alphabet. With AI transforming tech and expected to usher in a new generation of devices, Apple clearly doesn’t want to be left behind.
In the same vein, Apple Chief Financial Officer Kevan Parekh revealed on an analyst call that the company was abandoning its long-standing cash management strategy of aiming to be “net cash neutral""—which means having equal amounts of cash and debt on the balance sheet. Introduced in 2018 under former CFO Luca Maestri and Cook, that philosophy underpinned consistently massive stock buybacks. Apple’s net cash—cash on the balance sheet after deducting debt—shrank to $62 billion as of March 31, from $163 billion when the target was announced in 2018.
Parekh didn’t explain the change of heart in meaningful language—preferring corporate blather—but the shift raises the prospect that Apple wants to stockpile cash more than it has been doing. While it raised its dividend and announced a new buyback program, the company cut its stock buybacks in half in the March quarter from the year-earlier period, even though free cash flow jumped 28% compared with that period. (Parekh hinted that the quarter's buyback reduction was related to the announcement of the CEO transition: Much speculated about beforehand, it possibly contributed to volatility in Apple stock.)
Why would Apple want to keep more cash on hand? It‘s possible Cook and Ternus want to be prepared for skyrocketing memory chip prices, which Cook hinted he was expecting. But stockpiling cash could position Apple well at a time its counterparts in big tech are running down their cash reserves dramatically with massive capital expenditures. Imagine what assets might come up for sale, for instance, that other companies won’t have the money to buy? Of course, Apple historically hasn’t done major acquisitions. But it’s possible the next few years will bring more radical changes to the company than might now be apparent.
Atlassian’s Bang-Up Quarter
What was that about enterprise software stocks threatened by AI? Atlassian delivered a stinging rebuttal of that sentiment on Thursday, reporting 32% higher revenue, a sharp acceleration on the 23% growth rate of the previous quarter.
Atlassian stock rocketed 24% in after-hours trading, to around $85. If it maintains those gains on Friday morning, Atlassian shareholders will be happier than they have been in a while. Before the after-hours rally, the stock was down 57% so far this year, having ended 2025 at $162.
Separately...
Most memorable line from this week’s earnings calls:
“People will be more important in the future, not less.”—Meta CEO Mark Zuckerberg
In Other News
•
Reddit reported 69% growth in revenue for the first quarter, a sign that the rapid surge in its ad revenue is continuing into this year, despite little growth in one of its key groups of users.
• Shares of Meta Platforms dropped 8% on Thursday, as investors responded to the social media giant’s disclosure that it was raising its 2026 capital expenditure projection. Meanwhile Meta began efforts to raise another $25 billion in bonds,
Bloomberg reported
.
• Elon Musk said it is “partly” true that xAI, the AI unit of his SpaceX company, has distilled OpenAI’s models in developing its own models. He made the comment Thursday during his second day of cross-examination in the trial of his lawsuit against OpenAI.
• The U.S. National Security Agency is using Anthropic’s Mythos model to find security flaws in Microsoft software,
Bloomberg reported
Thursday."
Founders Fund Takes a Bigger Bite of Anduril,2026-04-30T23:31:39Z,Julia Hornstein,https://www.theinformation.com/newsletters/dealmaker/founders-fund-takes-bigger-bite-anduril,"Two months ago, my colleagues
broke the news
of Anduril’s latest funding round, slated to value the company at $60 billion. Andreessen Horowitz and Thrive Capital are leading the roughly $4 billion investment, according to a source with direct knowledge of the fundraising efforts. But another investor stands out for the size of its check.
Founders Fund is investing about $624 million into the funding round, according to financial documents I reviewed. That means the firm, whose general partner
Trae Stephens
co-founded the Costa Mesa, Calif.-based startup in 2017, will have sunk at least
$2.6 billion
into the company when the round closes. The VC firm has invested in all of Anduril’s previous rounds, according to data firm PitchBook.
The latest check reaffirms Founders Fund’s strategy of
doubling down on a small number of startups
it perceives as winners. Founders Fund invested more than $1 billion into a
single OpenAI funding round last summer
, and it led multiple investments
into corporate credit card startup Ramp
.
Anduril, for its part, can’t yet live without checks from big backers like Founders Fund. While the company expects to double its revenue this year, it’s still losing money from operations—and will continue to do so for the next few years. The company is forecasting its revenue will increase to $4.3 billion this year from just over $2 billion in 2025, though its operating loss will rise to $1.2 billion,
my colleague Cory reported in March
.
Those losses will continue to exceed $1 billion in each of the next four years, and Anduril doesn’t expect to turn a profit, in the form of adjusted earnings before interest, taxes, depreciation and amortization, until 2030.
“Growing a hardware company at the rate we’re growing at turns out to be really expensive,” Anduril CEO Brian Schimpf said on The Information’s
streaming service TITV
in October. The company lost more than $800 million from operations last year.
Venture capital firms are betting that Anduril will become a large-scale contractor on par with Northrop Grumman and will change government contracting norms. Usually, major defense companies win cost-plus contracts, in which the government pays for the research and development of the products they intend to purchase. Anduril is using venture dollars for that process and intends to sell the government finished weapons systems off the shelf.
The company aims to produce one of its most prized drones, an unmanned fighter jet called Fury, at a
new factory in Ohio
, which will cost Anduril north of $900 million to develop over the next decade. Fury is competing against similar products made by Northrop Grumman and General Atomics for an Air Force production contract, a program that could be worth billions of dollars.
Investors are betting the startup will be able to succeed in peeling off business from the largest defense companies. Its $60 billion valuation is about 14 times higher than expected 2026 sales. The market capitalization of Northrop Grumman is 1.88 times its expected 2026 sales, though Anduril is growing its revenue far more quickly than Northrop.
Any exit for Founders Fund, however, is probably more than a year off. Schimpf said
in October that Anduril
“isn’t in a rush” to go public. That means the firm may have another chance to double down."
Starcloud in Talks for $2.2 Billion Valuation as SpaceX Stirs Interest,2026-04-30T21:24:31Z,Theo Wayt,https://www.theinformation.com/articles/starcloud-talks-2-2-billion-valuation-spacex-stirs-interest,"Starcloud, a two-year-old startup building orbital data centers, has told investors it’s in talks to raise at least $200 million at a valuation of around $2.2 billion after the investment, according to a person involved in the deal.
The discussions come just one month after Redmond, Wash.-based Starcloud said it
raised $170 million
at a $1.1 billion valuation including the investment, which was co-led by early-stage firm Benchmark and private equity firm EQT. The startup’s funding target, following so closely on the last round, speaks to perceived investor excitement over the concept of putting data centers in low earth orbit, where they can take advantage of abundant solar energy. SpaceX CEO Elon Musk has made the concept a key aspect of the rocket company’s upcoming IPO, though many others in the data center industry are
skeptical of the technology.
Starcloud aims to provide data centers in space to AI cloud providers like Crusoe and other customers
such as the U.S. Department of Defense
. But its business is still in its early stages. In November, the startup launched its first satellite—a demonstration satellite with a single Nvidia H100 GPU—aboard a SpaceX Falcon 9 rocket. The company hopes to launch a second, more powerful satellite by the end of this year. Its revenue couldn’t be learned, but it is likely to be small.
The fundraising is also notable because it would be the latest example of a startup selling shares at higher prices in fundraising rounds that are only weeks or months apart. This tactic, which has become even more prevalent during the AI rush, can give the earlier investors large returns on paper quickly and help the company advertise the final, high valuation to customers and employees. But investors complain these fast-follows can be misleading, since the startup may only announce one valuation.
In Starcloud’s case, the startup announced the valuation of its last round, which was split into two tranches. Benchmark led the first, while EQT Ventures, the venture arm of EQT, participated, the company said last month. Both firms co-led the extension funding round. It couldn’t be learned what investors paid for each tranche.
The company was co-founded by CEO Philip Johnston, a former McKinsey consultant and e-commerce entrepreneur; chief engineer Adi Oltean, a former software engineer at SpaceX and Microsoft; and chief technical officer Ezra Feilden, an aerospace engineer who worked at Airbus. Starcloud was part of accelerator Y Combinator’s 2024 summer class.
Starcloud has huge ambitions in an increasingly crowded field where it will go up against the likes of SpaceX and Jeff Bezos’ Blue Origin. Starcloud in March asked the Federal Communications Commission for permission to launch up to 88,000 satellites that would “operate as a distributed datacenter in space.” The
filing
did not contain details about when or how the company would expect to launch that many satellites, though Starcloud has said it’s designing future satellites to launch from SpaceX’s Starship spacecraft.
However, the Starship program has been delayed for years. And SpaceX has ambitions of using the craft to launch
up to 1 million of its own data center satellites
, in addition to its own Starlink satellites and missions for other commercial customers and governments. Blue Origin also
wants to launch more than 50,000 satellites
for AI computing. Only about 25,000 satellites have been launched into orbit in human history,
according
to the European Space Agency."
How to Analyze Customer Sentiment with Google Gemini,2026-04-30T20:34:27Z,The Information Partnerships,https://www.theinformation.com/articles/analyze-customer-sentiment-google-gemini,"Customers provide teams with feedback constantly, in the form of support tickets, survey comments, app reviews, and countless other sources. But much of this data is unstructured, making it challenging to identify patterns across hundreds or thousands of responses.
In the past, making sense of this data required customer service teams to manually comb through spreadsheets, categorizing feedback by sentiment, severity, and topic. This process was not only extremely time-consuming, but also quite subjective and prone to error. There’s even a name for the problem: “sentiment drift,” which refers to the tendency of human graders to gradually change their criteria, standards, or interpretation of sentiment after reviewing hundreds of data points.
Historically, it has been even more difficult to pull out trends from all of these disconnected comments. After hours of work, customer service teams may come to see that customers are dissatisfied with a particular feature, but they might still not understand why.
Google Gemini helps teams generate valuable insights from their customer feedback data, almost instantly. By uploading a simple spreadsheet and prompting the generative AI model to identify trends and summarize patterns, teams can surface insights that might otherwise have taken many hours of manual review to uncover—if they were even noticed at all.
Step 1: Prepare the Data
Clean inputs make it easier for Gemini to detect meaningful patterns and trends.
This doesn’t mean you need to deeply cleanse and standardize your customer data, but a few simple steps can help set Gemini up for success. Simple column headings like “Feedback Text” and “Product Category” are a big improvement over placeholders like “Col_1” and “Feedback A.” You’ll also want to clear out the clutter of exact duplicates (when a customer hits the “submit” button three times) and non-feedback (such as “N/A”).
Make sure to remove any leftover internal testing data, which could skew the results. And don’t forget to scrub personally identifiable information before uploading.
Smart Fill in Google Sheets can help speed up data entry. For example, if you create a new column called “Date” and type out dates in the first few rows, Smart Fill will recognize the pattern and offer to extract dates for the entire spreadsheet.
Step 2: Prompt Gemini
When you upload your spreadsheet, include a prompt that clarifies your role, your intent, and the nature of the data you want to analyze.
For example, your prompt might read: “I am a customer support specialist. Using the attached spreadsheet, identify trends and patterns in our customer survey feedback over the past year. In particular, identify areas where customer outreach has increased significantly.”
Your exact prompt will depend on your goal. Here are some examples of additional instructions you might provide to Gemini:
“Identify the top five to seven recurring themes across the dataset.”
“For each theme, provide a short description of what is happening, with two or three representative samples.”
“Identify any contradictions or tensions in the data, where it appears that different users want opposing features or outcomes.”
Step 3: Categorize Feedback and Investigate Causes
After identifying broad trends, you can prompt Gemini again to organize feedback into meaningful categories (such as “Product Gaps” or “User Friction”), and also distinguish between surface-level symptoms and root causes.
For example, Gemini might find dozens of comments about a supposedly missing feature and recognize that the actual problem is that customers are having difficulty finding it. Similarly, the model might identify a cluster of complaints about “unexpected charges” and connect them to confusing billing language, rather than actual pricing changes.
Step 4: Turn Insights Into Action Steps
This is where you push beyond AI summaries and begin to use Gemini to transform business outcomes. While Gemini can help generate recommendations, teams should validate and prioritize these based on their own knowledge of the business.
Each organization’s process will look slightly different, but your team might start by mapping insights onto specific actions, such as product improvements, fixes to the user experience, or process changes. Then, you might separate these action steps into “quick wins” and longer-term solutions. Finally, you might assign ownership and next steps to specific teams, tying each action to a timeline and measurable outcomes.
The goal isn’t simply to better understand customer feedback, but rather to build a repeatable system for acting on it."
Microsoft Pushes Usage-Based Pricing as AI Eats into Cloud Margins,2026-04-30T18:59:03Z,Kevin McLaughlin,https://www.theinformation.com/newsletters/applied-ai/microsoft-pushes-usage-based-pricing-ai-eats-cloud-margins,"Microsoft CEO Satya Nadella said Wednesday that a lot more people were
heavily
using the company’s AI-powered applications.
But his company’s first quarter financial results showed the usage was dragging down profit margins in its cloud unit, prompting Microsoft to effectively boost prices.
The conundrum should sound familiar to every company that sells AI-powered apps. Look no further than Anthropic, which recently revamped its Claude Enterprise pricing to
charge customers based on how much they used the tools on top of a flat monthly fee
, rather than just charge a subscription price. The shift from seat-based prices is a hot trend,
as Laura recently reported
, though customers aren’t exactly loving it.
In Microsoft’s case, the company said Wednesday that increased usage of GitHub Copilot, which relies in part on Anthropic models to write and edit code, dragged down gross profit margins in its cloud unit, which also includes the all important Azure server rental business. That  margin fell about 5 percentage points to 56% in the first quarter compared to a year earlier. (Shareholders were unimpressed by Microsoft’s overall results, pushing the stock down 4.5% so far today, though
Microsoft has recently set more aggressive pricing for customers renting servers equipped with Nvidia chips, which could boost Azure margins as demand has far exceeded supply
.)
Microsoft has already copied some of Anthropic’s pricing changes to stop some of the bleeding. The company on Monday debuted new pricing to charge GitHub Copilot customers additional fees based on how much they use it. And that’s on top of a price hike GitHub Copilot announced just last week!
Meanwhile, gross margins increased slightly in the business unit that includes Office 365 AI products, which the company attributed to increased efficiency “even with” growing usage of those products. CFO Amy Hood told analysts that new consumption based pricing boosted margins.
Nadella all but said Microsoft will follow the GitHub Copilot playbook for its other AI products, including 365 Copilot, its flagship AI tool that automates tasks in Outlook, Teams, and other Office apps.
“Any per-user business of ours, whether it's productivity or coding or security, will become a per-user and usage business,” he told analysts in a conference call Wednesday. “That’s obviously already happening with [GitHub Copilot] coding [with] some of the business model changes we made this quarter … but it also speaks to the intensity of usage.”
Microsoft is already moving towards consumption-based pricing for its core enterprise AI apps. Microsoft charges a $30 per month flat fee for enterprise users of 365 Copilot—and it said Wednesday that paying subscribers grew 33% quarter over quarter to 20 million.
But the company recently added additional features to persuade customers to pay extra for custom “agents” that can work on tasks around the clock. Those tasks could include routinely updating a sales database or browsing the internet to create daily research reports, which are billed based on how much customers run the agents.
Newer products also seem poised to usher customers towards more consumption pricing: the company is about to roll out a new software bundle, E7, which combines Office software, security tools, and 365 Copilot for $99 per user per month. That bundle includes a light version of the consumption-based agent features, but customers have to pay an additional amount when they exceed a usage cap for the agents. (Microsoft is also
plotting new Copilot features similar to OpenClaw agents
, which would likely rely on consumption based pricing.)
‘False Sense of Security’
In Nadella’s view, businesses are willing to stomach paying more for consumption because their use of Copilot will “compress workflows,” leading to eventual cost savings or faster revenue growth.
That’s a hopeful statement, given the hand-wringing we heard from
corporate chief information officers about Anthropic’s price hikes
. And rivals like Google have been pitching the cost predictability of seat-based AI as a way to win big deals with large enterprises.
Pricing models that mix consumption and seat based pricing can create a “false sense of security” that leads to unexpected costs for businesses, said Adam Mansfield, a consultant at UpperEdge who negotiates deals with Microsoft and other software firms on behalf of large customers.
“The seat-based part is relatively easy to determine and forecast for,” Mansfield said. “The problem is the consumption-based pricing component … customers are not going to have an appetite to increase their AI spending when they weren't expecting it to happen.”
Of course, the prices that AI app makers like Microsoft pay for the underlying models that power them fluctuate. Last summer, for instance,
AI customers saw prices creep up
thanks to an increased reliance on “thinking” AI models that gobbled up more tokens than earlier models. But Microsoft also said on Wednesday that it’s reduced the cost of running Copilot by making models run more efficiently, so Microsoft could find ways to pass along some future cost savings to its customers.
To convince CIOs that the new pricing is great, Microsoft may try to point to its own experience using AI to save on labor costs. The company said Wednesday that overall headcount is down year over year “as we focus on building high performing teams that operate with pace and agility,” CFO Amy Hood said.
CIOs and CTOs: let us know what you think!
Everyone Has Already Launched ‘Stateful’ AI
In February, Amazon and OpenAI introduced a jargony term for a new way to build AI agents involving a “stateful runtime environment.” We wrote a
whole column
about how stateful AI differs from the current paradigm of so-called stateless models that most businesses use in that they are customized to specific businesses so they understand how the business operates and remember past conversations and actions they took.
On Wednesday, Amazon CEO Andy Jassy said stateful AI will give Amazon Web Services an advantage over cloud rivals because it essentially automates much of the work that corporate software engineers typically do when developing customized agents today. This work includes managing what types of data an agent is permitted to access, what kinds of tools it can access to complete tasks, and enabling it to recall past actions.
“I think that‘s the future of how these agents are going to be built [and] it’s something that nobody else has,” Jassy said Wednesday on an earnings call, a day after his company launched a preview of a new stateful product, Amazon Bedrock Agents, which OpenAI models power.
We’re not so sure. Microsoft and Google also offer stateful AI development tools to customers, as does Anthropic. They just haven’t made a big deal out of it.
The next question is whether and when stateful AI products turn out to be useful to enterprises."
Standard Intelligence Rides Neolab Fervor with Computer Use Model,2026-04-30T14:00:09Z,Rocket Drew,https://www.theinformation.com/newsletters/ai-agenda/standard-intelligence-rides-neolab-fervor-computer-use-model,"Pedestrians in downtown San Francisco are used to seeing
Waymos
navigating the streets. But two months ago, people in the South Park neighborhood saw something new: a
Toyota Rav4
driving around with a laptop propped on the dashboard.
The laptop was running a new breed of AI model, known as a “computer use model,” from a two-year-old startup called
Standard Intelligence
. The “computer use model” can operate a computer to do a range of tasks from testing a banking website to deleting spam emails—and even steering a car, which other similar agents would struggle with.
Standard Intelligence is rethinking the data that goes into training such models, which traditionally consists of textual data. While the startup is still small, its approach is drawing significant interest: it recently raised $75 million at a valuation of $500 million, including the funds, it told The Information exclusively.
Sequoia Capital
and
Spark Capital
led the round. That’s more than 16 times its seed round valuation from late 2024.
Other startups developing computer use models have also gained attention recently.
Vercept
, a startup that was working on the technology, was acquired by
Anthropic
in February. Another computer use startup,
AGI Inc.
, has nearly closed a funding round at a similar valuation, according to someone close to the company.
Founded by a pair of recent college dropouts, Standard Intelligence has lured AI legend
Andrej Karpathy
to help. The veteran of
OpenAI
and
Tesla
was so impressed by its car demonstration that he reached out to the company on social media, dropped by their office to talk shop and signed on as an advisor.
Part of the reason observers were impressed was that current software for turning language models into agents struggle to steer a car. Standard Intelligence’s
FDM-1
, short for “forward dynamics model,” is trained primarily on videos of people using computers. That enabled the model to drive the Toyota, which an employee borrowed from a friend.
“It was very visceral, like, our model can do something that there’s no amount of harnessing that you could get Claude to do,” said
Devansh Pandey
, 20, Standard Intelligence’s co-founder and president.
Both he and his fellow co-founder, CEO
Galen Mead
, 21, are quick to acknowledge FDM-1’s limitations, comparing it to the
GPT-1
model that OpenAI trained years before releasing
ChatGPT
. As a result of those limitations, they don’t intend to sell the model, but they estimate the new funding will allow them to train the next generation with 10,000 times more computing power, resulting in a model they intend to commercialize.
(The chips are already humming. A screen in the startup’s office displays graphs of the power that dozens of
Nvidia H100
chips are using to train multiple models. When a chip hits peak power usage, its graph lights up green and “brat” flashes onto the screen.)
Standard Intelligence is also researching new approaches to training AI that could eventually result in models that can flexibly
pick up new knowledge
and skills from experience.
“The most important capability that makes humans so impactful on the world is the ability to learn, and current models have not made a lot of progress in their ability to learn,” said Mead.
Mead and Pandey say achieving that goal will require replacing textual training data with videos of people using computers that give the models sharper intuition for how to take actions. Training a model on text data falls flat, they argue, because text
reflects the final output of a person’s thinking. A video of someone using a computer captures how they actually explore, make mistakes and learn, said Pandey.
“We have eleven million hours of this data, and I think this gives you a much better prior for learning than text does,” he said. For example, they trained FDM-1 on internet tutorials for how to use various programs.
To prove their research mettle, the founders started by training an audio model. But investors in their seed round didn’t see the audio model as a strong signal of their competence: they saw it as a distraction from the company’s stated goals. Standard Intelligence ended up raising about $5 million at a $30 million valuation in late 2024.
Since that seed round, neolabs have become sought-after investments in Silicon Valley. “It was just night and day from the last time we fundraised,” Mead said, “in part because computer use in particular is an exciting field of capabilities.”
Here’s what else is going on…
Google Will Sell TPU Chips For Customers’ Data Centers
Google’s
tensor processing unit chips
, or TPUs, were a surprise star of its blockbuster earnings call on Wednesday. CEO
Sundar Pichai
said that the company planned to deliver its custom TPUs—already used extensively in its own data centers—to customers such as financial institutions and frontier labs in their own data centers, confirming
our scoop from last fall
. Overall,
Alphabet’s
revenue
jumped
22%, sending its stock up 7% in after hours trading.
Google CFO
Anat Ashkenazi
said that TPU hardware sales had contributed to
Google Cloud’s
$460 billion backlog, the value of contracts that have been signed but not yet turned into revenue. Google expects to see some revenue from TPU sales later this year, and more in 2027, Ashkenazi said.
That said, not everyone is using TPUs yet. Pichai said in his prepared earnings remarks that Google’s “TPUs continue our leadership in performance, cost and power efficiency for customers like
Thinking Machines Lab
,
Hudson River Trading
and
Boston Dynamics
.” That’s not quite right, however: While all three companies are Google Cloud customers, only Boston Dynamics is a TPU customer; Thinking Machines Lab and Hudson River Trading are not, a Google Cloud spokesperson confirmed. The spokesperson declined to clarify how the error occurred.—
Erin Woo
Court Watch
Elon Musk
endured hours of cross-examination
by
OpenAI’s
lawyer at trial Wednesday. The lawyer sought to portray Musk as resentful and double-dealing, calling into question Musk’s motivations for bringing the lawsuit and aiming to undermine Musk’s legal position that OpenAI has broken promises to him and violated its charitable duties.
Musk, for his part, offered the most thorough response to some of OpenAI’s criticisms that he has presented so far in the case. For instance, OpenAI has argued that Musk waited too long to bring his lawsuit. Musk on Wednesday explained the wait, saying he only became suspicious of CEO
Sam Altman
and President
Greg Brockman
in degrees. In 2017, he stopped donating $5 million per quarter when he suspected they may violate their promises in the future. But he did not realize “they’re breaking the deal” until years later. “Thinking someone might steal your car is not the same as if someone has stolen your car,” he said.
In a different lawsuit, seven families of people who died in a school shooting in Tumbler Ridge, Canada, sued OpenAI and Altman on Wednesday for allegedly pushing the shooter to violence. Altman apologized to the town last week for not notifying authorities after OpenAI suspended the shooter’s ChatGPT account.
Policy Watch
The
White House
is working on an executive action that would allow federal agencies to use new
Anthropic
models, despite Anthropic’s designation as a supply chain risk, Axios reported.
The White House also opposes a plan from Anthropic to expand access to its
Claude Mythos
model to 70 additional companies and organizations due to security concerns and concerns that Anthropic wouldn’t have enough compute to serve the government and these additional organizations.
The
House Homeland Security Committee
and
House China Select Committee
sent letters to the CEOs of
Airbnb
and
Cursor
requesting information about their use of AI models from Chinese companies, Semafor reported.
Earnings Report
Amazon Web Services’
revenue rose 28%
in the first quarter to $37.6 billion, the cloud giant’s fastest growth rate in nearly four years.
Amazon’s
overall net sales increased 17% to $181.5 billion in the first quarter, an acceleration in growth from 14% in the fourth quarter.
Microsoft
revenue grew 18%
to $82.9 billion in the first quarter, 1 percentage point higher than its growth in the prior quarter, the company said Wednesday.
Meta
reported first-quarter revenue
of $56.3 billion, up 33% from a year earlier and just shy of the upper end of its own forecast range of up to $56.5 billion. It also raised its 2026 capital spending forecast again, underscoring rising infrastructure costs as it continues to scale its artificial intelligence and data center investments.
Overheard
Anthropic
has
received investment interest
at a valuation above $900 billion.
Google
is
trying to assuage employee concern
following The Information’s reporting on its deal to let the
Pentagon
use its AI on classified systems.
“We have proudly worked with defense departments since Google’s earliest days, and we continue to believe that it’s important to support national security in a thoughtful and responsible way,”
Kent Walker
, Google’s president of global affairs, wrote in an internal memo on Tuesday.
Deals and Debuts
See The Information’s
Generative AI Database
for an exclusive list of private companies and their investors.
Biohub
, a nonprofit backed by
Mark Zuckerberg
and
Priscilla Chan
, announced a $500 million
Virtual Biology Initiative
to build open datasets and models that can predict how human cells behave.
Hightouch
, a San Francisco-based AI marketing startup, raised $150 million in Series D funding led by
Growth Equity at Goldman Sachs Alternatives
and
Bain Capital Ventures
.
Legora
, an AI legal startup, raised an additional $50 million in Series D funding, bringing the total round to $600 million and valuing the company at $5.6 billion post-investment. The new funding added
Atlassian
and
Nvidia
as corporate investors, alongside
Adams Street Partners
,
Airtree
,
Barclays
,
Geodesic Capital
,
Insight Partners
,
Liberty Global
and
Nikesh Arora
.
OpenLight
, which designs photonic chips that use light instead of electrons, raised $50 million in a Series A-1 funding round led by
Matter Venture Partners
.
Blackstone
is folding its growth equity business into
a new unit called BXN1
that will focus on AI-related investment."
Shopify Seeks Licenses to Push Deeper Into Fintech,2026-04-30T13:00:20Z,Ann Gehan,https://www.theinformation.com/articles/shopify-seeks-licenses-push-deeper-fintech,"Commerce giant Shopify is seeking regulatory approvals to take a bigger role in offering financial and payments services to the millions of merchants using its software.
Shopify has already secured money transmitter licenses in more than a dozen U.S. states to hold and move funds itself, and it is seeking them nationwide. If that happens, the company would get more control over how money moves through its platform and potentially would be able to generate more revenue from the hundreds of billions in transactions made through its shops each year.
Shopify, which works with small merchants and brands like Skims, got its start selling subscription software. But its biggest business is selling add-on services to merchants, mostly focused on payment processing, as well as related ones that generate additional fees, like cash advances, money management accounts and cards.
Shopify indicated to federal regulators beginning last year it plans to act as a money transmitter and a “provider of prepaid access,” according to government records. That would allow it to receive and send money for other parties and store funds on their behalf—roughly a merchant version of how consumers can leave money sitting in accounts like Venmo to use later.
Doing so requires obtaining money transmitter licenses nationwide. Shopify started applying for these last year and so far has obtained licenses in 18 states and Puerto Rico. Applications in the remaining states are under review, including in big states with particularly stringent regulations like California and New York.
Shopify is also hiring to build out systems managing merchants’ funds, as opposed to its own corporate cash: A recent job posting highlights working with bank partners and requires experience in BIN sponsorship, arrangements that let fintechs access a bank’s infrastructure. At the same time, it is hiring for a Luxembourg-based role for international aspects of building a “money movement platform” involving client funds.
“Shopify has provided financial products and payment services for years,” a Shopify spokesperson said. “Obtaining licenses will allow us to keep building on our existing tools that help merchants run their business. Our payment partnerships are foundational to that work, and millions of merchants rely on the infrastructure we’ve built together.”
Services represented about three-quarters of Shopify’s revenue last year and grew 35%, more than twice the growth rate for software, but the area generates far lower margins. Shopify has leaned heavily on fintech partners like Stripe for those services: Stripe handles much of the underlying processing and takes a cut of the fees Shopify charges merchants. Shopify also works with Stripe on its Shopify Balance merchant accounts and card issuance, with Stripe handling bank and card network relationships for the products.
Shopify’s exact next steps if it gets fully licensed are unclear. Though Shopify would still need a partner bank, licenses could allow it to form more-direct bank relationships and potentially reduce the fees it pays intermediaries. Shopify could also conceivably offer entirely new services, such as automated invoicing tools, said Ken Wong, a managing director for software research at Oppenheimer.
“You could see that being an area that they could go into if it’s a more merchant-centric capability that they’re looking at, and that would increase the take rate, that would increase the margins on a per-merchant basis,” Wong said.
Wong pointed to how Shopify has already reduced its reliance on outside fintechs in some areas—it initially leaned on Stripe for fraud detection but later built its own machine-learning models to flag risky transactions.
The licenses would also be among the requirements for Shopify to push deeper into payments processing. But any immediate impact on Stripe would likely be limited if Shopify is focusing more on expanding or adding new financial services instead of the core payments relationship.
The companies also continue to partner on efforts like AI shopping. Shopify also said at a Stripe developer event this week that they are hoping to expand Shopify Balance accounts internationally. Stripe declined to comment.
Margin Opportunity
Shopify’s growth in new software customers has slowed since a pandemic-era boom. Even so, it has accelerated its payments growth in recent years by convincing more merchants using its software to also use payments and by
courting larger retailers
.
But its gross margins on merchant services have been falling, a trend that has continued even after it unloaded its short-lived, capital-intensive logistics business to Flexport in mid-2023. That’s due in part to how Shopify has grown payments volume—adding PayPal as a back-end processor in 2024 boosted payment volume but replaced a higher-margin stream of referral fees Shopify used to get for sending business PayPal’s way, executives have said.
Shopify has lifted overall operating margins in recent quarters as it’s kept a lid on staff and other expenses. But that expansion now appears to be slowing, a trend investors are watching closely.
“The most recent quarter, there was maybe some concern that ‘Hey, you guys were doing fantastic expanding margins. It seems like things have maybe leveled off.’ Anything that they can do to eke out more margin would be viewed as a positive,” Wong said.
Pushing deeper into financial services could bring Shopify more revenue and cut down on intermediaries, but it comes with compliance staffing and other costs. Many state licenses also require firms to maintain financial backstops to protect consumers from losses.
Some of that investment has likely already begun, since the license application process requires senior compliance staff and systems to verify customers, but the company would also likely need to staff up for ongoing compliance and regulatory exams once it’s fully licensed."
