标题,时间,作者,链接,内容
"Cursor Staff Meet With xAI Employees as Layoffs, Exits Mount",2026-05-08T21:04:08Z,Erin Woo,https://www.theinformation.com/articles/cursor-staff-meet-xai-employees-layoffs-exits-mount,"Cursor is already starting to make its presence known at SpaceX’s AI unit, just weeks after Elon Musk’s firm got an option to buy the coding startup for $60 billion.
Cursor staffers have been visiting xAI offices to meet with employees and discuss their work, according to two people with direct knowledge of the companies. Fresh xAI exits have followed, including staff cuts last Friday, the people said.
The cuts last week affected around 10 employees across xAI teams involved in its Grok models, one of the people said. xAI’s research team was around 200 people as of last fall, one person familiar with the company said. Its current head count could not be learned.
Other recent exits from xAI have included Devendra Chaplot, a founding member of Mistral AI and Thinking Machines Lab, who was considered a marquee hire when he joined xAI in March,
reporting
directly to Musk. He exited the company after roughly a month, one of the people said. xAI has also
laid off staff working on its data centers
in recent weeks.
SpaceX and xAI didn’t respond to requests for comment.
These shake-ups extend a period of turmoil inside the company in the months since SpaceX acquired xAI in February, after which several co-founders still at the latter company departed. The purchase of xAI saddled SpaceX with heavy losses and a
heavier debt load
, raising fresh questions for investors contemplating its upcoming initial public offering.
Remaining senior xAI leaders include research leader Aman Madaan, who has been at the startup since 2024. Madaan has helped run the xAI staff meetings alongside the visiting Cursor employees, one of the people said.
In recent weeks, Musk has sought to cut costs while also saying he needs to
rebuild xAI from the ground up
to compete with top AI labs, leaving big questions about what the company will look like going forward.
For one, it’s still unclear whether xAI will ultimately buy Cursor. If Musk decides not to buy the coding firm, xAI has to pay a $10 billion breakup fee.
The company had also said it’s already working with Cursor on coding-focused AI and would give it access to xAI’s computing capacity, though xAI didn’t elaborate on what exactly that work would entail. The Information reported earlier this week that
Cursor remains focused on improving its own models
and doesn’t have plans to immediately start developing new coding models with xAI.
Another big change came on Wednesday, when xAI announced Anthropic would take over all the capacity from the first of xAI’s two major data centers within the coming month. Cursor would still have access to a large number of Nvidia GPUs from xAI’s second data center, though it’s not clear how much compute it will receive.
The same day that xAI announced its deal with Anthropic, Musk
said
xAI will be dissolved as a separate company. It will be known as “SpaceXAI, the AI products from SpaceX,” he said."
Corning’s Stock Rally Risks Outpacing Reality,2026-05-08T13:00:59Z,Anita Ramaswamy,https://www.theinformation.com/articles/cornings-stock-rally-risks-outpacing-reality,"Shares of iconic glassmaker Corning Inc. have doubled so far this year to their highest price ever, thanks to surging demand for Corning’s fiber optic cables that connect servers and AI data centers to one another. A
partnership Corning announced with Nvidia this week
gave the stock another lift.
But Corning’s current deluxe valuation, which is now based almost entirely on sky-high expectations for its optics business, might be more fragile than it appears. Corning is currently trading at a significantly higher multiple of either revenue or profits than rival fiber optic cable makers Prysmian or Furukawa Electric (see chart below). Both are also benefiting from the AI data center boom, although Corning’s expected growth rate is higher.
Moreover, while Corning stock has rallied like that of other data networking hardware firms benefiting from the AI boom—such as Lumentum—it isn’t expected to benefit as much. Corning’s own revenue projections imply a relatively sedate growth rate of around 20% for the next few years. Analysts project Lumentum’s growth rate to rocket to 81% this fiscal year from 21% last fiscal year.
Growth Surge
To be fair, even maintaining a growth rate of 20% would be a big improvement on Corning’s growth of the past decade or so, which averaged in the low single-digit percentages. That changed last year, when revenue jumped 19% in 2025. Corning’s free cash flow nearly doubled last year to $1.72 billion.
Driving the surge was the company’s optical communications segment, which sells fiber optic cables for data centers, among other businesses. The unit has grown rapidly over the last year or so as Corning has signed deals with large tech firms such as Meta Platforms that are using its technology in their AI data centers.
The segment’s revenue surged 35% last year, and it rose at a similar rate in the first quarter of this year, Corning has reported. It made up 40% of the company’s sales in 2025, up from 36% in 2024.
Other parts of Corning’s business aren’t doing as well. In the first quarter of this year, for instance, in the glass display segment—which makes screens for smartphones, including the ceramic shield used in Apple iPhones—revenue rose just 1%. Overall, Corning’s revenue grew 20% in the first quarter.
Corning executives told investors one factor driving extra demand is that larger clusters of AI chips handling increasingly complex tasks will require more optical fiber. New, higher-bandwidth chips from Nvidia could also stimulate demand for Corning’s cables.
To meet the demand, Corning is building three new optical fiber factories, funded with assistance from Nvidia, which is investing $500 million in the company. (Nvidia also has warrants to purchase another $2.7 billion of Corning stock.)
In a presentation to investors and analysts earlier this week, CEO Wendell Weeks said the company was aiming to reach annualized revenue of $30 billion by the end of 2028 and $40 billion by 2030. That would compare with the annualized revenue rate of $17.6 billion where Corning finished in 2025, although reported revenue for the year was $15.6 billion.
Corning Chief Financial Officer Edward Schlesinger noted that—even taking into account economic risks and other factors—management was confident the revenue run rate would reach $27 billion by 2028 and $35 billion by 2030.
Getting to $27 billion by 2028 implies a compound annual growth rate of about 20%.
Expansion Cost
Even with support from Nvidia, expanding manufacturing capacity will likely prove a costly endeavor for Corning. The company’s projections suggest it will put $1.7 billion into capital expenditures this year, 33% more than last year. It expects to ramp up its capex spending even further in 2027 and 2028, Schlesinger told investors this week.
Nonetheless, investors are bullish about the company’s potential. The Nvidia partnership is “the most exciting part” of Corning’s story at the moment, said Hendi Susanto, a portfolio manager at Gabelli Funds who owns its stock. He added that it likely won’t have a truly significant impact on Corning’s revenue until 2028, partly a result of how long it takes to get a new manufacturing facility up and running.
The growth of Corning’s fiber optic cable now overshadows the glass display segment, which has the highest operating margin of its various segments. Now it is “perceived as secondary or tertiary to Corning’s story. I think all the upside and all the reward now lies in optical and fiber,” Susanto said.
Little Room for Error
The sky-high expectations for Corning seem to leave little room for error, according to Cory Johnson, an investor and analyst who runs Epistrophy Capital Research and owns Corning shares.
“They could screw up manufacturing,” Johnson said. “This stuff is very hard to make, and if they don’t get these factories built in a reasonable amount of time, they’re not going to get the sales growth that they need. What Corning is doing is trying to literally make thousands of miles worth of incredibly complex, high-quality glass that has never been made before in the history of mankind.”
Some investors think Corning stock has peaked for the moment. “Corning is fully valued for the short term,” said Susanto, who started trimming his position in Corning after it announced a $6 billion fiber optic supply deal with Meta in January. He plans to hold on to his remaining shares, at least for now.
“I thought, OK, it will take time, and it’s a multiyear deal, so it will be spread across that period, and the valuation multiple is quite high. It’s a historic record,” Susanto said of his thinking behind that decision. Since then, Corning’s share price has appreciated another 73%.
Johnson expects Corning’s shares to rally further as investors realize how important its technology is to the future of AI. But he acknowledged that its hot streak might not last.
“Right now, companies can throw all the resources they want against the AI data center build-out,” he said. “That won’t always be the case.”"
DeepSeek To Raise More than $7 Billion as Startup Plots Revenue Efforts,2026-05-08T11:40:14Z,The Information Staff,https://www.theinformation.com/articles/deepseek-raise-7-billion-startup-plots-revenue-efforts,"Liang Wenfeng, billionaire founder and CEO of DeepSeek, is planning to write the biggest check for the startup’s first-ever funding round, which the company now hopes will raise up to 50 billion yuan ($7.35 billion), according to two people with direct knowledge of the talks. That would make it the biggest funding round by a Chinese AI company ever.
Meanwhile, the funding round has prompted the Chinese AI lab to expedite its plans to generate revenue and become commercially viable. DeepSeek has also recently told some investors it plans to speed up model releases to a tempo closer to the industry norm, according to the two people involved in the talks.
The company aims to release an update to its V4 model, V4.1, in June, one of the two people said.
DeepSeek
kicked off its first fundraising
last month, and the
expected valuation has escalated sharply
, from the early expectations of more than $10 billion. The round could end up valuing DeepSeek at more than 350 billion yuan ($51.5 billion), including the funds raised.
Liang, who controls DeepSeek’s parent, the hedge fund High-Flyer Capital Management, could make a personal investment in the round of as much as 20 billion yuan, or 40%, of the total capital being raised, according to one of the people. China’s National Artificial Intelligence Industry Investment Fund is expected to be the second largest investor in the funding round. DeepSeek has requested minimum investments of 3 billion yuan ($440 million), according to the two people.
Deepseek didn’t reply to an emailed request for comment.
Despite the rapidly rising valuation, investors who have held talks with DeepSeek raised concerns about the company’s ability to generate recurring revenue and release models at a faster pace. DeepSeek, founded in 2023 as an AI unit for High-Flyer, built its reputation as a research-focused lab that prioritized model development over commercialization.
DeepSeek is working on turning its technology into products and services for which it can charge customers. DeepSeek employees have been promoting its models to businesses in various industries, in hopes of sparking interest. The company has also hired from ByteDance’s product development teams and other Chinese tech firms, according to two people with knowledge of the situation.
DeepSeek’s new model, V4.1, will come with more tools for enterprise users and better support for model context protocol, or MCP, a standard for connecting AI models with other software. DeepSeek is also planning to make V4.1 be able to process image and audio, although it will still only be able to generate text, according to one of the people.
DeepSeek’s funding round and the commercialization efforts mark a major shift for the company. Liang, who is known in the industry
as a technology idealist
, wanted to keep DeepSeek free of commercial pressure. Many in China’s AI industry have credited DeepSeek’s success to the absence of external investors and the resulting lack of pressure to commercialize its technology.
But that approach is increasingly untenable, as the cost of computing capacity rises and competition for top talent intensifies. The startup has lost some star researchers. Luo Fuli, a key contributor to DeepSeek’s V3 model, joined Chinese smartphone maker Xiaomi to lead its fledgling AI department. Guo Daya, another researcher central to DeepSeek’s previous models, recently joined ByteDance at a much higher pay level.
By raising outside money, DeepSeek could invest more in computing capacity and pay its employees more. It could also possibly start issuing stock options to supplement employee compensation.
Liang, a Chinese entrepreneur who studied engineering at Zhejiang University in Hangzhou, co-founded High-Flyer in 2015 and turned it into one of China’s biggest quantitative hedge funds. He owns 89.5% of DeepSeek, according to Chinese corporate database Qichacha. Forbes estimates he has a net worth of $11.5 billion, while Bloomberg Billionaires Index puts his personal wealth at $16.7 billion.
It’s unclear if DeepSeek has any plans to generate revenue from its chatbot app, by charging subscriptions or selling ads. Although the app surged in popularity in early 2025, it now faces more competition in China. DeepSeek’s app had 139 million monthly active users as of April, trailing behind ByteDance’s Doubao as well as Alibaba’s Qwen and Quark apps, according to Aicpb.com, a Chinese website that tracks AI products.
DeepSeek’s website continues to be the most popular Chinese AI website, with 355.5 million monthly visits as of February, according to Aicpb.com. But that tally is still a tiny fraction of ChatGPT and Gemini, which both generated billions of visits."
