标题,时间,作者,链接,内容
Polymarket in Talks to Raise Money at About $15 Billion Valuation,2026-04-20T02:33:27Z,Yueqi Yang,https://www.theinformation.com/articles/polymarket-talks-raise-money-15-billion-valuation,"The predictions site Polymarket is talking to investors about raising $400 million in funding at a valuation of about $15 billion including the new money, according to two people familiar with the talks.
The financing would add to the $600 million already invested in the funding round by Intercontinental Exchange, the parent of the New York Stock Exchange, which the exchange announced last month without disclosing the valuation. It’s looking to add additional strategic investors beyond Intercontinental Exchange to the round, which could total $1 billion, said a second person.
The round hasn’t closed and the terms could change.
A valuation at that level would diverge significantly from that of its rival Kalshi. Last month, Kalshi was
finalizing raising $1 billion
at a $22 billion valuation led by Coatue Management. Still, Polymarket’s new valuation would be more than 66% higher than its October round last year, when it
raised $1 billion from Intercontinental Exchange
at a $9 billion valuation after the investment.
One likely reason for the valuation difference: Polymarket, the biggest prediction market outside the U.S., only recently launched a platform to serve U.S. customers and has just started to charge fees to generate revenue. Kalshi, in contrast, has been serving U.S. customers and its annualized revenue has risen to $1.5 billion, Bloomberg reported last month.
Unlike Kalshi, the six-year-old startup settles trades on a blockchain. For more than a year it has
discussed issuing a token
—a digital asset commonly issued by crypto projects. It also plans to eventually pursue an initial public offering, according to people familiar with its thinking.
The company’s fundraising discussions follow a spike in activity on prediction markets, which became popular ways to bet on the outcome of the 2024 U.S. presidential race. Both Kalshi and Polymarket allow users to purchase event contracts—derivatives that pay out to investors who guess event outcomes correctly—for less than $1. Users pay for the contracts up front; if they guess correctly, they make the money back plus a profit.
The low stakes and broad range of bets on events, from the March Madness winner to outcomes of the U.S. invasion of Iran to the timing of AI model releases, have made them a popular alternative to sports betting and stock trading.
The timing of some well-placed bets have raised concerns about insider trading, though. Earlier this year,
OpenAI fired an employee
for trading on prediction markets using confidential company information. More recently, amid news reports pointing to winning bets related to the U.S.-Iran war, bi-partisan lawmakers have proposed legislation to ban federally elected officials and government employees from using insider information to bet on prediction market contracts.
Polymarket has already had a run-in with regulators: In 2022, the Commodity Futures Trading Commission, which regulates derivatives trading, banned it from accepting U.S.-based trades because it hadn’t received regulatory approval to do so. After Polymarket last year bought a U.S.-registered derivatives exchange and clearinghouse, it received approval to launch a new platform for U.S. users.
Both Polymarket and Kalshi have taken steps to crack down on insider trading.
Kalshi, meanwhile, is battling lawsuits against several state regulators, which are seeking to stop it from offering sports bettings, a major source of tax revenue for some states. Kalshi has said the charges are meritless and that it is regulated by federal regulator, the CFTC."
Adobe and Google Cloud Head to Vegas,2026-04-19T22:00:20Z,Martin Peers,https://www.theinformation.com/newsletters/the-briefing/adobe-google-cloud-head-vegas,"If you’ve never visited Las Vegas, this week might be the time. Adobe and Google Cloud are both having big shows there this week, with Adobe kicking off its customer summit tomorrow and running through Wednesday. Google Cloud Next, conveniently, starts Wednesday and runs through Friday. Come for one, stay for both!
The two companies might be in pretty different moods, however. Adobe is in the camp of enterprise software firms pummeled by worries about AI. Its stock has fallen 30% so far this year, and sentiment likely hasn’t been helped by longtime CEO Shantanu Narayen’s decision to leave, raising questions about who will succeed him. But the real issue weighing on Adobe is competition from new AI tools.
That competition is particularly apparent on the design software front. On Friday, Anthropic confirmed
a report
in The Information earlier in the week about a new
design tool it is introducing
. Earlier in the week, design software firm Canva announced a new AI-powered design service that, according to a research report from BNP Paribas, “is beginning to rival Adobe’s comprehensiveness.” (Canva
is a 2027 IPO candidate
to watch). The two new products raise the stakes for whatever Adobe plans to unveil this week.
Meanwhile, at Google Cloud, the mood likely has never been more upbeat. Its growth rate surged by 14 points to 48%
in the fourth quarter
, while its operating profit margin also jumped several points to 30%. The company is one of Anthropic’s main cloud providers, which has likely proved a major boon in recent months as business use of Anthropic’s Claude has taken off.
And improvements to Google’s own Gemini models have also likely helped
boost Google Cloud’s server rentals
. That sets the scene for a busy convention where we’re sure to hear about product updates, among other news. You won’t want to miss the Google Cloud Next parties this year!
Meta and Broadcom
Meta Platforms paid Broadcom $2.3 billion in 2025, Meta disclosed in a securities filing late last week, a rare look at how much tech firms pay Broadcom for help designing their AI chips. The payment was more than double the $987 million payment Meta made to Broadcom in 2024.
Meta, like Google, uses Broadcom to help design special AI chips, although Google is likely a much bigger customer given the size of its tensor processing unit business. Broadcom has said its AI chip revenue was about $20 billion in the year that ended last November, implying Meta made up around 10% of that amount.
Meta is becoming a much bigger customer:
Last week, the two companies
announced an expansion of their relationship, under which Broadcom will co-develop Meta’s next generations of AI chips. As a result of that announcement, Broadcom CEO Hock Tan is leaving Meta’s board.
His presence on the board is why Meta disclosed its payments to Broadcom for 2025 and 2024, which means we won’t get an update on those payments in the future. Suffice it to say that Meta is surely one reason Broadcom has forecast a big increase in AI chip revenue this year.
In Other News
• Meta plans to lay off about 10% of its workforce, or about 8,000 people, next month,
Reuters reported
.
• Several members of OpenAI’s management team left the firm on Friday, including Kevin Weil, according to a
post
the executive made on X. Weil, who has been at OpenAI since mid-2024, was at one time chief product officer but more recently led the company’s work to build AI tools for scientists.
More here.
•
China’s regulator said Friday it had imposed fines totaling 3.52 billion yuan ($516 million) on seven e-commerce businesses, including those operated by PDD Holdings, Meituan, JD.com, Alibaba Group and ByteDance, citing their lack of oversight over problematic food-delivery merchants.
• Andreessen Horowitz and Thrive Capital are in talks to co-lead a $2 billion investment in coding assistant startup Cursor at a $50 billion valuation before the investment, according to people familiar with the matter.
• Lawyers for Elon Musk said Friday that they may drop their fraud claims against OpenAI in his case charging the ChatGPT maker with violating its charitable mission and breaking promises to Musk.
More here.
• Anthropic CEO Dario Amodei met with White House Chief of Staff Susie Wiles and Treasury Secretary Scott Bessent on Friday, in what both sides described as a “productive and constructive” discussion, according reports in
Axios
and
The New York Times
.
• Jeff Bezos’ rocket company Blue Origin completed the third mission for its New Glenn rocket, which mostly went as planned.
More here."
China’s 10 Most Important Chip Design Firms,2026-04-19T15:00:28Z,Qianer Liu,https://www.theinformation.com/articles/chinas-10-important-chip-design-firms,"Ask Washington’s most plugged-in politicians and lobbyists which Chinese chip company is the biggest threat to Nvidia and you’ll hear one name: Huawei Technologies. Nvidia CEO Jensen Huang has repeatedly cited Huawei’s rising prominence in both private meetings with lawmakers and public forums. Huawei has become shorthand for China’s semiconductor ambitions.
But that misses the bigger picture. China has more than 10 companies actively designing and shipping AI chips today, ranging from state-backed research institutions with decades of chip expertise to startups founded by engineers who spent years at Nvidia, Advanced Micro Devices, and Intel before coming home to build something of their own.
While state-owned businesses were early buyers of Chinese AI chips, the local chipmakers are now winning orders from tech giants including Alibaba Group, ByteDance and Tencent. Those customers bring more consistent revenue for the chip firms and also send in their own engineers to help improve the chip software.
The results show up in market share data. Research firm Bernstein estimates that Nvidia and Huawei each held about 40% of China’s AI chip market in 2025, but Nvidia’s share is expected to drop to roughly 8% this year as Chinese firms capture most new sales. Local AI chip companies’ revenue is expected to surge from about $2 billion in 2023 to $82 billion in 2028, according to the research firm.
As the table above demonstrates, more than half of the Chinese chip firms are publicly traded companies, ranging from Cambricon Technologies to Moore Threads to MetaX. Others—such as T-Head and Kunlunxin, owned by Chinese tech giants Alibaba and Baidu, respectively—are planning to go public.
None of these firms is trying to beat Nvidia by developing chips technically on a par with those of the U.S. giant for training AI models, according to their latest chip road map. Instead, their aim is to develop chips of comparable quality for the AI inference process, in which models answer questions, generate content and power applications.
Even there, Chinese models lag behind Nvidia’s in individual chip performance. But the Chinese firms are trying to compensate for that by putting more chips into clusters and relying on networking technology to handle millions of inference requests reliably and cheaply. On that measure, the distance between China’s chips and Nvidia’s is a lot shorter than it appears.
All the companies have had to overcome two hurdles. One is a shortage of local chip manufacturing capacity. The second is the need to improve their software so it can run smoothly on the code AI developers created for Nvidia’s CUDA software platform, as most of them still write for CUDA.
The companies have tackled the manufacturing problem in different ways. Cambricon and Hygon Information Technology locked in domestic chipmaking capacity early enough to secure a production pipeline latecomers are now scrambling to match, according to two people familiar with the production plan. Beijing has stepped in to work with chipmakers on coordinating allocation of chipmaking capacity, according to two other people familiar with the situation.
In contrast, Shanghai-based chip designer Iluvatar CoreX makes its chips at Taiwan Semiconductor Manufacturing Co., according to two people familiar with their production arrangement. Baidu’s chip unit, Kunlunxin, used to make chips at Samsung.
But both TSMC and Samsung use equipment that relies on U.S. technology, which means they’re subject to U.S. export controls capping the power of chips made for the Chinese market. As a result, Kunlunxin has been in talks with Chinese chipmakers to produce their chips, according to two people with direct knowledge of the talks.
On the software side, companies like Cambricon and Iluvatar have made it a priority for their chips to run code originally written for Nvidia so developers can switch with less rewriting.
The chip designers tied to cloud giants have a deeper structural edge. Alibaba’s T-Head and Baidu’s Kunlunxin design chips aimed to meet their parent companies’ most demanding workloads, tuning hardware, compilers and software together from the start. Since early 2025, both companies have been using their own chips to
train some AI models in-house
.
Chinese AI chip companies are also trying to better understand what developers actually need in a chip. Huawei’s Ascend 950PR, launched this year, for instance, comes in several versions, each emphasizing different capabilities depending on the workload, showing that the company is listening to customers closely enough to build in options, according to two people familiar with the situation.
The growth of local AI chip development is also rippling through the Chinese chip supply chain, long considered an underdog. For instance, Chinese chipmakers have long lacked access to the most advanced high-bandwidth memory, the specialized memory used in AI chips. U.S. export controls banned sales of advanced HBM to Chinese buyers in 2024.
But Chinese firms are now designing and making their own HBM. Chinese chip designers such as Huawei and Iluvatar are now testing locally produced advanced memory, HBM3, pairing it with their own AI processors, according to three people familiar with the situation.
Locally made AI chips are beginning to have an impact on the market. Huawei tunes its Ascend 950PR specifically for inference workloads, and Chinese AI developer DeepSeek worked directly with the company
to ensure the latest DeepSeek models ran on Huawei hardware from launch day
.
Most leading Chinese chips now match or outperform the H20, the neutered chip Nvidia engineered specifically for the Chinese market under U.S. export controls. Newly listed chip designers Iluvatar and Biren Technology are working on processors designed to rival the H200, the most powerful chip Washington currently permits Nvidia to sell to Chinese buyers."
Google in Talks With Marvell to Build New AI Chips for Inference,2026-04-19T13:00:28Z,Qianer Liu,https://www.theinformation.com/articles/google-talks-marvell-build-new-ai-chips-inference,"Google is in talks with Marvell Technology to develop two new chips aimed at running AI models more efficiently, according to two people with direct knowledge of the discussions. One is a memory processing unit designed to work alongside Google’s tensor processing unit. The other is a new TPU built specifically for running AI models.
The moves underscore surging demand for inference chips that run AI powering commercial products such as autonomous agents. At its GTC conference in March, Nvidia released a chip designed to improve the efficiency of inference workloads. Called a language processing unit, the chip is built on technology Nvidia licensed from startup Groq for $20 billion.
While Google has bought data center chips from Marvell before, those purchases were off the shelf, whereas the current discussions aim at designing semiconductors exclusively for Google’s needs. The discussions are the latest sign Google wants to diversify from Broadcom, long the sole design partner for Google’s TPU.
Google had previously considered replacing Broadcom with Marvell as the supplier for the networking interface chips that connect servers to ethernet switches in Google’s data centers,
The Information reported
in 2023.
Google had been planning to develop new inference chips and accelerated the work after Nvidia’s launch of the LPU, according to a Google employee. Marvell is Groq’s chip design partner for the first-generation LPU. That ensures Marvell has the experience to design an inference chip.
Google’s talks with Marvell on a new TPU were reported by Funda AI.
Google has previously purchased CXL controller chips from Marvell. Those chips manage how servers share memory across a data center, according to two Google employees. That prior work gave the company confidence in Marvell’s ability to design more new chips with Google, according to two Google employees.
Google’s new memory processing unit would work alongside TPUs, dividing AI workloads with TPUs based on their compute and memory demands, the two people said. Google and Marvell aim to finalize the design of the memory processing unit as soon as next year before handing it off for test production, according to the two people.
Google plans to produce nearly 2 million memory processing units, the two people added, though that figure could change as the discussion is still in early stages. By comparison, Morgan Stanley estimates Google will produce around six million TPUs in 2027. It is unclear when the design work for the new TPU will wrap up and how many of them Google plans to produce. The memory processing units can work with existing TPUs.
Google currently produces its chips at Taiwan Semiconductor Manufacturing Co. It remains unclear whether TSMC or another chipmaker would produce the new chips.
For years, Google used the TPU only in its own data centers to power businesses including search, YouTube and Gemini models, and made it available only to Google Cloud customers. That changed last year, when Google started leasing TPUs to customers for use in non-Google data centers, in a direct challenge to Nvidia’s dominance in AI chips. Google’s TPU has also won over customers including
Anthropic
,
Meta Platforms
and Apple.
The rise of inference-specific chips comes as AI firms release more sophisticated products such as autonomous agents, which require more computing power than traditional AI apps like chatbots.
Still, not all inference tasks are alike. Some steps in generating a response require lots of computing power, while others are bottlenecked by how quickly a chip can move data in and out of memory. Using different types of inference chips for the different tasks, rather than running everything through one type of processor, has become a key way AI firms improve efficiency and reduce cost.
OpenAI, for instance, recently struck a deal to spend more than $20 billion on inference chips from Cerebras, a rival of Nvidia and Groq, while also using other firms’ inference chips. OpenAI is also developing its own inference chip with Broadcom.
Marvell, which designs standard networking, storage and optical interconnect chips used in data centers, has built a growing business helping customers design chips tailored to their needs. That custom business has become its fastest-growing segment.
Google has been trying to wean itself off Broadcom since 2023, mostly due to the high fees it charges. Broadcom collects a fee on every TPU that gets produced. As demand for TPUs surges, so do the bills Google has to pay Broadcom.
Last year, Google brought in Taiwanese firm
MediaTek
to help design and produce TPU chips. Still, Broadcom remains Google’s key chip design partner. Broadcom signed a new agreement with Google earlier this month to develop and supply custom TPUs and networking components for Google’s next-generation AI data center racks through 2031, showing that Broadcom remains central to Google’s chip venture."
